v_gene,d_gene,j_gene,cdr3_length,v_3p_del,d_5p_del,d_3p_del,j_5p_del,vd_insertion,dj_insertion,count
IGHV3-71*01,IGHD3-22*01,IGHJ4*02_F,66,0,3,8,0,12,6,1
IGHV3/OR16-9*01,IGHD6-6*01,IGHJ5*02_F,44,0,6,1,3,8,1,1
IGHV3-h*02,IGHD5-12*01,IGHJ4*02_F,36,0,8,7,1,1,0,16
IGHV3-h*02,IGHD3-22*01,IGHJ5*02_F,72,0,1,5,1,10,7,1
IGHV1-18*01,IGHD3-10*01,IGHJ4*02_F,51,0,9,10,7,10,8,1
IGHV5-51*02,IGHD3-16*02,IGHJ4*02_F,42,1,17,8,5,1,7,1
IGHV5-51*02,IGHD2-2*02,IGHJ6*03_F,75,0,4,2,6,0,13,1
IGHV3-23*04,IGHD3-22*01,IGHJ1*01_F,-1,13,10,3,0,4,12,1
IGHV3-66*03,IGHD5-5*01,IGHJ4*02_F,71,0,3,1,10,17,20,1
IGHV3-h*01,IGHD5-5*01,IGHJ6*02_F,-1,0,2,0,36,13,35,1
IGHV3-23*04,IGHD3-10*01,IGHJ6*02_F,45,0,10,14,15,4,6,1
IGHV4-61*03,IGHD3-16*02,IGHJ4*02_F,42,1,1,19,4,2,0,1
IGHV3-h*02,IGHD1-26*01,IGHJ4*02_F,45,0,2,2,6,3,4,1
IGHV3-20*91,IGHD3-16*01,IGHJ6*02_F,69,1,17,2,0,3,6,1
IGHV3/OR16-10*03,IGHD5-12*01,IGHJ6*02_F,-1,9,6,4,9,9,10,1
IGHV3-20*91,IGHD2-2*02,IGHJ6*02_F,69,1,0,15,0,7,4,1
IGHV3-h*02,IGHD3-3*01,IGHJ6*03_F,75,0,0,5,9,6,9,1
IGHV3-53*04,IGHD2-2*02,IGHJ6*03_F,-1,14,13,2,2,26,4,1
IGHV3-NL1*01,IGHD5-24*01,IGHJ4*02_F,57,2,6,0,4,12,9,1
IGHV3-74*03,IGHD6-13*01,IGHJ4*02_F,45,7,7,6,10,14,12,1
IGHV4-61*08,IGHD3-10*01,IGHJ3*02_F,69,0,0,13,4,7,18,1
IGHV1-c*01,IGHD5/OR15-5b*01,IGHJ6*02_F,-1,0,13,4,21,0,0,1
IGHV4-61*02,IGHD3-16*02,IGHJ5*02_F,72,0,3,5,5,6,11,1
IGHV3-53*02,IGHD5-12*01,IGHJ4*02_F,36,0,3,9,3,1,1,1
IGHV3-9*91,IGHD3-16*02,IGHJ6*02_F,45,7,17,15,4,2,4,1
IGHV1-69*13,IGHD3-22*01,IGHJ4*01_F,48,0,12,0,1,0,2,1
IGHV3-NL1*01,IGHD3-3*01,IGHJ4*02_F,75,2,0,9,0,16,11,1
IGHV4/OR15-8*03,IGHD3-22*01,IGHJ4*02_F,69,2,8,0,5,13,12,1
IGHV4-61*02,IGHD3-9*01,IGHJ3*01_F,69,1,4,10,3,20,6,1
IGHV3-43*91,IGHD5-5*01,IGHJ4*02_F,66,0,0,0,3,18,1,6
IGHV4-34*13,IGHD2-21*01,IGHJ4*02_F,46,1,9,1,1,1,1,1
IGHV4-30-2*91,IGHD2-2*03,IGHJ4*02_F,71,1,2,7,5,10,17,1
IGHV1-2*04,IGHD7-27*01,IGHJ1*01_F,25,0,2,1,16,0,3,1
IGHV3-30*15,IGHD3-22*01,IGHJ4*02_F,69,0,0,6,0,12,4,2
IGHV4-b*02,IGHD3-10*01,IGHJ6*02_F,69,1,7,6,14,5,20,1
IGHV4-61*08,IGHD5-5*01,IGHJ6*03_F,81,0,0,0,1,11,8,1
IGHV4-4*07,IGHD7-27*01,IGHJ6*03_F,-1,1,2,4,31,1,27,1
IGHV3-h*02,IGHD3-16*02,IGHJ4*02_F,57,0,1,8,7,7,1,1
IGHV3-23*04,IGHD4-4*01,IGHJ6*03_F,-1,1,5,0,36,3,36,1
IGHV1-18*01,IGHD6-19*01,IGHJ4*02_F,42,4,7,3,10,15,2,1
IGHV4-34*13,IGHD3-3*01,IGHJ6*03_F,70,0,2,5,8,11,0,1
IGHV4-39*02,IGHD6-25*01,IGHJ6*02_F,69,0,4,2,5,16,3,1
IGHV5-51*02,IGHD4-23*01,IGHJ3*02_F,51,1,1,2,5,5,6,1
IGHV3-9*02,IGHD2-15*01,IGHJ3*02_F,73,0,0,5,1,2,14,1
IGHV3-h*01,IGHD4-17*01,IGHJ6*03_F,75,2,0,0,6,14,10,3
IGHV3-71*01,IGHD3-16*02,IGHJ6*03_F,69,0,6,13,3,0,11,4
IGHV4-61*08,IGHD5/OR15-5b*01,IGHJ4*02_F,44,1,7,6,3,4,6,1
IGHV3-23*04,IGHD2-21*02,IGHJ3*02_F,57,2,10,6,0,7,10,1
IGHV3-20*91,IGHD5-24*01,IGHJ6*02_F,72,2,5,0,4,15,5,2
IGHV1-18*01,IGHD6-13*01,IGHJ3*02_F,48,3,4,3,0,5,2,1
IGHV3-9*02,IGHD6-19*01,IGHJ6*03_F,75,1,0,1,6,8,9,1
IGHV3-64*04,IGHD6-6*01,IGHJ4*02_F,36,0,8,0,4,0,2,1
IGHV5-51*02,IGHD2-2*03,IGHJ6*03_F,76,1,4,6,9,9,13,1
IGHV3-71*01,IGHD2-21*01,IGHJ4*02_F,73,0,1,1,2,21,0,2
IGHV3-23*04,IGHD2-15*01,IGHJ6*03_F,75,1,1,3,6,8,4,1
IGHV3-h*02,IGHD6-19*01,IGHJ4*02_F,36,0,4,5,9,2,3,1
IGHV3-23*04,IGHD1-1*01,IGHJ4*02_F,36,0,3,4,4,2,0,1
IGHV5-51*03,IGHD5-24*01,IGHJ4*02_F,45,1,3,2,8,7,6,1
IGHV3-33*06,IGHD3-22*01,IGHJ3*02_F,-1,129,1,20,4,6,32,1
IGHV4/OR15-8*03,IGHD1-26*01,IGHJ5*02_F,48,1,8,0,4,5,5,1
IGHV1-2*04,IGHD2-2*03,IGHJ4*02_F,-1,8,16,2,8,0,2,1
