d_5p_del,d_3p_del,d_gene,count
0,6,IGHD3/OR15-3b*01,12
0,12,IGHD6-25*01,1
0,0,IGHD4-4*01,13
0,8,IGHD3-10*01,9
13,5,IGHD2/OR15-2b*01,1
5,9,IGHD2-21*02,1
2,0,IGHD1-26*01,4
12,10,IGHD3-3*02,1
10,6,IGHD3-10*01,19
1,14,IGHD3-22*01,1
4,8,IGHD4-23*01,1
1,2,IGHD3-22*01,7
2,0,IGHD3-9*01,4
6,7,IGHD3-10*01,11
0,17,IGHD3/OR15-3b*01,1
19,0,IGHD2-2*02,1
7,5,IGHD2-15*01,2
5,4,IGHD6-25*01,2
7,1,IGHD2-2*03,26
1,3,IGHD5-5*01,1
7,4,IGHD4-23*01,1
6,0,IGHD6-6*01,1
4,4,IGHD4-17*01,3
0,9,IGHD5-12*01,3
3,10,IGHD4/OR15-4b*01,1
6,9,IGHD5-5*01,1
11,19,IGHD3-16*02,1
2,6,IGHD3-9*01,1
6,0,IGHD3-9*01,3
7,5,IGHD3-10*01,8
0,2,IGHD3/OR15-3b*01,4
13,0,IGHD3/OR15-3b*01,3
8,0,IGHD6-6*01,12
16,5,IGHD3/OR15-3b*01,1
5,2,IGHD5-24*01,2
3,0,IGHD4/OR15-4b*01,4
4,0,IGHD6-25*01,1
11,1,IGHD3-10*02,2
2,0,IGHD4/OR15-4b*01,1
6,3,IGHD4-23*01,4
0,2,IGHD5-12*01,2
2,4,IGHD2-21*02,3
7,3,IGHD6-25*01,2
15,0,IGHD4-23*01,6
6,4,IGHD2-2*03,2
8,3,IGHD2-8*02,1
8,3,IGHD6-25*01,4
4,5,IGHD5-12*01,2
0,4,IGHD5-5*01,15
1,7,IGHD3-9*01,3
8,9,IGHD2-21*01,1
8,7,IGHD3-10*01,5
3,7,IGHD4/OR15-4b*01,2
11,3,IGHD3-10*02,5
8,5,IGHD3-22*01,1
2,7,IGHD1-26*01,2
10,2,IGHD5-24*01,4
8,0,IGHD2-15*01,5
3,4,IGHD1-14*01,4
7,0,IGHD2-21*01,2
0,18,IGHD3/OR15-3b*01,3
7,15,IGHD3-3*02,3
7,0,IGHD6-25*01,1
18,0,IGHD3-16*02,4
1,0,IGHD3-3*01,1
5,6,IGHD5-24*01,5
2,0,IGHD3-10*02,1
9,0,IGHD4/OR15-4b*01,1
2,7,IGHD3-10*01,2
4,0,IGHD2-2*02,1
11,12,IGHD2-2*03,2
1,10,IGHD3-9*01,10
2,9,IGHD3-10*01,2
5,1,IGHD6-19*01,7
14,6,IGHD3-3*02,1
7,0,IGHD7-27*01,3
6,4,IGHD2-15*01,2
13,10,IGHD3-16*02,6
1,0,IGHD4-23*01,3
8,0,IGHD6-25*01,12
6,0,IGHD3-10*02,1
4,13,IGHD3-16*02,2
4,10,IGHD3-9*01,3
5,2,IGHD1-7*01,1
8,9,IGHD2-15*01,3
9,6,IGHD2-2*03,2
3,3,IGHD5-5*01,1
1,10,IGHD2-8*01,1
4,13,IGHD3-22*01,1
14,5,IGHD3-16*02,2
7,10,IGHD3-3*01,2
2,3,IGHD5-12*01,1
0,6,IGHD3-10*01,15
4,2,IGHD2-21*01,1
1,2,IGHD1-20*01,1
1,16,IGHD3-10*02,2
0,9,IGHD7-27*01,8
0,2,IGHD3-22*01,5
4,2,IGHD6-25*01,4
10,4,IGHD5-24*01,1
15,0,IGHD5-5*01,2
2,6,IGHD5/OR15-5b*01,1
16,3,IGHD3-3*02,5
6,0,IGHD4-17*01,2
