d_gene,count
IGHD5-5*01,203
IGHD1-7*01,28
IGHD2-8*02,41
IGHD3-10*01,835
IGHD1-20*01,43
IGHD6-25*01,80
IGHD2/OR15-2b*01,77
IGHD4-4*01,43
IGHD6-13*01,376
IGHD5/OR15-5b*01,52
IGHD1-26*01,444
IGHD4-17*01,176
IGHD3-22*01,529
IGHD2-2*02,171
IGHD3-3*01,319
IGHD2-21*02,87
IGHD2-8*01,43
IGHD2-15*01,330
IGHD4/OR15-4b*01,47
IGHD6-19*01,373
IGHD6-6*01,134
IGHD3-16*01,59
IGHD3-9*01,274
IGHD3/OR15-3b*01,297
IGHD5-24*01,133
IGHD7-27*01,146
IGHD3-10*02,105
IGHD1-14*01,42
IGHD1-1*01,35
IGHD2-2*01,5
IGHD2-2*03,416
IGHD2-21*01,59
IGHD4-23*01,126
IGHD3-3*02,111
IGHD5-12*01,185
IGHD3-16*02,338
IGHD1/OR15-1b*01,52
