dj_insertion,j_gene,count
18,IGHJ3*01_F,4
10,IGHJ1*01_F,2
19,IGHJ1*01_F,1
14,IGHJ2*01_F,1
14,IGHJ1*01_F,3
69,IGHJ6*02_F,1
13,IGHJ3*02_F,21
18,IGHJ3*02_F,12
20,IGHJ3*01_F,4
0,IGHJ1*01_F,37
2,IGHJ2P*01_P,5
15,IGHJ3*01_F,1
0,IGHJ3*01_F,16
29,IGHJ3*02_F,2
12,IGHJ2*01_F,1
24,IGHJ4*02_F,10
0,IGHJ2*01_F,24
3,IGHJ6*03_F,46
8,IGHJ6*03_F,73
42,IGHJ6*03_F,1
0,IGHJ3*02_F,38
11,IGHJ3*01_F,2
7,IGHJ6*04_F,3
8,IGHJ1*01_F,9
3,IGHJ1*01_F,3
26,IGHJ6*02_F,1
30,IGHJ4*02_F,1
21,IGHJ6*02_F,3
5,IGHJ1*01_F,1
4,IGHJ3*01_F,3
1,IGHJ2P*01_P,2
9,IGHJ6*03_F,53
6,IGHJ3*02_F,21
13,IGHJ2*01_F,7
10,IGHJ3*02_F,16
35,IGHJ6*03_F,1
8,IGHJ5*02_F,17
6,IGHJ5*02_F,38
5,IGHJ5*02_F,39
10,IGHJ2*01_F,5
30,IGHJ5*02_F,1
25,IGHJ5*02_F,3
33,IGHJ4*02_F,2
31,IGHJ5*02_F,1
3,IGHJ4*02_F,305
4,IGHJ6*03_F,78
19,IGHJ6*03_F,5
23,IGHJ4*02_F,10
24,IGHJ6*03_F,5
20,IGHJ6*02_F,6
5,IGHJ6*02_F,55
8,IGHJ3*01_F,6
6,IGHJ6*03_F,59
5,IGHJ6*03_F,63
13,IGHJ4*02_F,61
22,IGHJ4*02_F,8
10,IGHJ6*03_F,44
11,IGHJ2*01_F,13
9,IGHJ6*04_F,1
15,IGHJ2*01_F,3
1,IGHJ5*02_F,44
7,IGHJ5*02_F,18
8,IGHJ2*01_F,1
29,IGHJ4*02_F,3
17,IGHJ3*01_F,1
19,IGHJ3*02_F,6
0,IGHJ6*03_F,195
15,IGHJ6*03_F,13
24,IGHJ3*02_F,1
12,IGHJ4*02_F,63
20,IGHJ6*03_F,5
17,IGHJ6*03_F,6
4,IGHJ6*02_F,106
18,IGHJ6*04_F,1
2,IGHJ6*02_F,79
13,IGHJ1*01_F,13
17,IGHJ5*02_F,9
1,IGHJ1*01_F,6
23,IGHJ6*02_F,2
9,IGHJ3*02_F,31
1,IGHJ6*03_F,104
2,IGHJ4*02_F,353
22,IGHJ6*03_F,7
21,IGHJ6*03_F,7
15,IGHJ6*04_F,1
27,IGHJ6*03_F,1
26,IGHJ6*03_F,1
20,IGHJ5*02_F,6
2,IGHJ5*02_F,32
20,IGHJ3*02_F,2
15,IGHJ3*02_F,15
28,IGHJ5*02_F,1
0,IGHJ4*03_F,1
2,IGHJ2*01_F,10
14,IGHJ3*01_F,4
16,IGHJ1*01_F,1
13,IGHJ3*01_F,5
11,IGHJ1*01_F,1
6,IGHJ1*01_F,5
5,IGHJ3*02_F,19
7,IGHJ6*02_F,61
6,IGHJ6*04_F,1
2,IGHJ6*03_F,90
9,IGHJ3*01_F,10
5,IGHJ2P*01_P,4
11,IGHJ4*03_F,1
22,IGHJ3*02_F,5
13,IGHJ5*02_F,17
23,IGHJ3*01_F,3
0,IGHJ5*01_F,5
16,IGHJ4*02_F,27
31,IGHJ4*02_F,5
11,IGHJ4*02_F,80
36,IGHJ4*02_F,3
0,IGHJ2P*01_P,41
19,IGHJ4*02_F,27
10,IGHJ6*02_F,60
31,IGHJ3*01_F,1
12,IGHJ3*02_F,17
14,IGHJ6*02_F,16
12,IGHJ4*03_F,1
28,IGHJ6*03_F,1
15,IGHJ1*01_F,2
19,IGHJ6*02_F,3
26,IGHJ4*02_F,9
35,IGHJ4*02_F,1
0,IGHJ6*04_F,6
9,IGHJ4*02_F,104
2,IGHJ3*02_F,30
34,IGHJ5*02_F,1
18,IGHJ2*01_F,1
3,IGHJ5*02_F,24
4,IGHJ4*03_F,2
25,IGHJ4*02_F,13
15,IGHJ4*02_F,39
8,IGHJ4*02_F,127
4,IGHJ1*01_F,6
14,IGHJ6*04_F,1
30,IGHJ1*01_F,1
9,IGHJ1*01_F,14
18,IGHJ6*02_F,10
13,IGHJ6*02_F,39
3,IGHJ6*02_F,73
16,IGHJ3*01_F,1
1,IGHJ6*02_F,57
5,IGHJ4*02_F,202
14,IGHJ4*02_F,88
2,IGHJ5*01_F,4
14,IGHJ5*02_F,26
4,IGHJ5*02_F,24
20,IGHJ2*01_F,1
11,IGHJ3*02_F,12
6,IGHJ2*01_F,8
16,IGHJ3*02_F,9
4,IGHJ4*02_F,231
2,IGHJ3*01_F,7
7,IGHJ5*01_F,1
12,IGHJ6*02_F,27
0,IGHJ6*02_F,199
27,IGHJ3*02_F,1
3,IGHJ3*01_F,6
1,IGHJ3*02_F,41
16,IGHJ2*01_F,7
21,IGHJ3*02_F,8
14,IGHJ6*03_F,23
26,IGHJ3*02_F,3
17,IGHJ2*01_F,2
3,IGHJ4*03_F,2
7,IGHJ2*01_F,9
5,IGHJ6*04_F,1
17,IGHJ3*02_F,4
9,IGHJ5*02_F,14
0,IGHJ5*02_F,119
15,IGHJ5*02_F,9
7,IGHJ3*02_F,23
4,IGHJ2*01_F,12
32,IGHJ4*02_F,1
31,IGHJ6*02_F,1
21,IGHJ3*01_F,1
11,IGHJ6*03_F,36
1,IGHJ3*01_F,6
25,IGHJ6*03_F,2
16,IGHJ6*03_F,18
8,IGHJ3*02_F,12
28,IGHJ4*03_F,1
2,IGHJ1*01_F,8
9,IGHJ6*02_F,56
38,IGHJ4*02_F,6
35,IGHJ6*02_F,2
3,IGHJ6*04_F,1
2,IGHJ4*01_F,1
19,IGHJ2*01_F,2
14,IGHJ3*02_F,9
5,IGHJ2*01_F,8
38,IGHJ6*03_F,1
19,IGHJ3*01_F,1
11,IGHJ5*02_F,17
10,IGHJ5*02_F,15
28,IGHJ4*02_F,4
18,IGHJ5*02_F,11
10,IGHJ3*01_F,5
7,IGHJ6*03_F,72
5,IGHJ3*01_F,7
6,IGHJ3*01_F,8
3,IGHJ2P*01_P,6
8,IGHJ6*02_F,46
4,IGHJ3*02_F,22
22,IGHJ6*02_F,3
12,IGHJ1*01_F,7
7,IGHJ1*01_F,8
16,IGHJ5*02_F,11
18,IGHJ4*02_F,39
27,IGHJ4*02_F,6
4,IGHJ4*01_F,1
1,IGHJ4*02_F,304
17,IGHJ6*02_F,9
13,IGHJ6*03_F,27
21,IGHJ4*02_F,18
18,IGHJ6*03_F,14
3,IGHJ2*01_F,9
1,IGHJ6*04_F,1
22,IGHJ5*02_F,3
12,IGHJ5*02_F,8
32,IGHJ5*02_F,1
17,IGHJ4*02_F,20
1,IGHJ2*01_F,9
29,IGHJ5*02_F,1
37,IGHJ4*02_F,1
7,IGHJ4*02_F,171
0,IGHJ4*02_F,538
23,IGHJ6*03_F,2
32,IGHJ3*02_F,2
20,IGHJ4*02_F,19
12,IGHJ6*03_F,32
6,IGHJ6*02_F,68
9,IGHJ2*01_F,4
16,IGHJ6*02_F,14
11,IGHJ6*02_F,64
15,IGHJ6*02_F,49
6,IGHJ4*02_F,194
10,IGHJ4*02_F,118
12,IGHJ3*01_F,3
0,IGHJ4*01_F,6
1,IGHJ4*03_F,1
33,IGHJ3*02_F,1
3,IGHJ3*02_F,35
7,IGHJ3*01_F,8
