j_3p_del,j_gene,count
0,IGHJ3*02_F,7057
7,IGHJ6*02_F,2
0,IGHJ1*01_F,2265
1,IGHJ3*01_F,9
0,IGHJ6*04_F,269
0,IGHJ4*01_F,265
0,IGHJ2P*01_P,19
1,IGHJ6*03_F,43
0,IGHJ6*02_F,10270
0,IGHJ4*03_F,76
1,IGHJ1*01_F,16
1,IGHJ6*04_F,17
0,IGHJ6*03_F,9734
8,IGHJ5*02_F,1
1,IGHJ5*02_F,47
1,IGHJ2P*01_P,57
0,IGHJ2*01_F,2436
5,IGHJ6*04_F,8
0,IGHJ5*02_F,5421
0,IGHJ5*01_F,26
1,IGHJ3*02_F,11
0,IGHJ3*01_F,1296
0,IGHJ4*02_F,45918
0,IGHJ6*01_F,24
1,IGHJ6*02_F,11
1,IGHJ5*01_F,1
1,IGHJ2*01_F,3
1,IGHJ4*03_F,3
1,IGHJ4*02_F,326
