v_gene,count
IGHV3-43*91,111
IGHV3-30-3*01,8
IGHV5-51*02,264
IGHV4-59*91,8
IGHV3-33*06,779
IGHV4-39*02,15
IGHV4-59*10,144
IGHV3-66*04,147
IGHV3/OR16-8*02,23
IGHV1-8*91,429
IGHV3-48*02,79
IGHV3-19*01,98
IGHV3-74*03,584
IGHV1-69*13,1214
IGHV3-30*05,29
IGHV3-9*02,996
IGHV3-30*15,1985
IGHV1-3*01,417
IGHV3-64*04,13367
IGHV3-9*91,91
IGHV4-55*08,13
IGHV3-53*01,2131
IGHV3-71*03,165
IGHV3-66*03,2011
IGHV3/OR16-13*91,13
IGHV4-61*07,82
IGHV2-26*01,32
IGHV2-10*01,2
IGHV3-64*91,93
IGHV4-34*05,2
IGHV7-4-1*02,9
IGHV3-20*91,420
IGHV4/OR15-8*02,77
IGHV3-48*01,98
IGHV4-34*11,27
IGHV1/OR15-2*01,10
IGHV4-28*04,1
IGHV3-53*91,20
IGHV4-55*09,5
IGHV4-30-4*02,2
IGHV2-70*09,13
IGHV3-21*03,24
IGHV3-h*02,2106
IGHV4-4*91,8
IGHV3-71*02,17
IGHV7-4-1*91,27
IGHV3-47*02,1
IGHV4-55*01,6
IGHV4-59*08,65
IGHV3/OR16-14*01,1
IGHV3-72*01,206
IGHV1-8*02,7
IGHV3-38*01,3
IGHV3-22*02,5
IGHV4/OR15-8*03,611
IGHV4-61*06,85
IGHV1-2*03,118
IGHV4-30-2*91,126
IGHV3-30*13,110
IGHV7-81*01,3
IGHV3-35*01,26
IGHV3-11*04,207
IGHV3/OR16-12*01,31
IGHV3-71*01,296
IGHV3-66*01,279
IGHV4-b*02,171
IGHV4-59*09,197
IGHV3/OR16-6*02,2
IGHV3-23*04,20931
IGHV3-33*03,149
IGHV2-70*12,56
IGHV3-38*02,15
IGHV3/OR16-15*02,1
IGHV3/OR16-14*91,1
IGHV2-5*09,2
IGHV1/OR15-3*01,66
IGHV4-34*13,339
IGHV1-45*02,3
IGHV3-73*02,285
IGHV1-NL1*91,7
IGHV3-49*01,1
IGHV1-3*02,111
IGHV1/OR15-9*01,8
IGHV3-15*05,52
IGHV2-5*91,26
IGHV4-39*06,50
IGHV1-NL1*01,1
IGHV6-1*02,43
IGHV5-a*04,75
IGHV3-33*02,499
IGHV3-30*19,3
IGHV2-70*13,23
IGHV1/OR15-3*02,37
IGHV3/OR16-9*01,42
IGHV3-7*03,445
IGHV1/OR15-1*04,42
IGHV4-61*08,566
IGHV3-33*05,1772
IGHV3-h*01,1469
IGHV1/OR15-4*01,101
IGHV5-78*01,12
IGHV4-34*09,11
IGHV3-47*01,1
IGHV1-58*02,20
IGHV1-18*01,746
IGHV1/OR21-1*01,7
IGHV1-46*03,24
IGHV4-30-2*03,4
IGHV4-30-4*06,1310
IGHV1/OR15-3*03,11
IGHV4-61*03,57
IGHV3-d*01,15
IGHV3-53*04,607
IGHV3/OR16-8*01,7
IGHV3-43*02,36
IGHV2-5*07,1
IGHV5-51*04,36
IGHV3-15*07,747
IGHV3-11*01,232
IGHV1-69*10,219
IGHV1-24*01,61
IGHV3-20*01,29
IGHV3-16*02,4
IGHV5-a*02,22
IGHV1-46*02,361
IGHV2-70*11,64
IGHV1/OR15-1*02,4
IGHV4-61*02,450
IGHV1-69*05,349
IGHV3-23*02,62
IGHV2-5*10,8
IGHV3-53*03,263
IGHV3-25*05,2
IGHV3-64*02,454
IGHV2/OR16-5*01,2
IGHV4-4*07,258
IGHV1-f*01,109
IGHV5-51*03,197
IGHV4-39*07,8
IGHV3-NL1*01,18312
IGHV3/OR16-10*03,8
IGHV4-39*01,17
IGHV1-18*03,6
IGHV1-2*04,38
IGHV3-49*05,1360
IGHV1/OR15-2*03,126
IGHV3-13*04,37
IGHV2-5*01,5
IGHV3-64*05,3
IGHV4-30-2*01,5
IGHV3-23*03,268
IGHV3-53*02,661
IGHV3-52*01,1
IGHV4-4*01,1
