v_5p_del,v_gene,count
251,IGHV3-66*03,1
233,IGHV3-64*91,3
203,IGHV3-20*91,4
233,IGHV3-66*04,3
239,IGHV1-f*01,5
221,IGHV1-58*02,2
197,IGHV3-53*03,23
239,IGHV2-5*91,2
239,IGHV4-b*02,1
188,IGHV1-69*05,1
143,IGHV4-61*07,12
197,IGHV3-48*02,1
164,IGHV4-34*13,2
205,IGHV3-h*02,23
218,IGHV3-33*06,1
197,IGHV3-66*03,33
208,IGHV3-7*03,1
185,IGHV3-h*02,8
235,IGHV3-NL1*01,1
227,IGHV3-71*03,81
212,IGHV1-2*03,5
206,IGHV1-46*02,18
211,IGHV3-23*04,2
200,IGHV3-48*02,5
212,IGHV2-5*91,1
215,IGHV4-4*07,1
212,IGHV3-49*05,1
185,IGHV5-51*02,1
221,IGHV4/OR15-8*02,16
182,IGHV4-30-4*06,6
236,IGHV3-64*04,19
212,IGHV3-73*02,5
191,IGHV2-26*01,1
215,IGHV1-18*01,59
143,IGHV4-30-4*06,47
146,IGHV4-34*13,26
205,IGHV4-61*02,1
215,IGHV3-48*02,1
191,IGHV3-49*05,3
203,IGHV3-11*01,6
203,IGHV4-61*02,1
236,IGHV4-b*02,6
208,IGHV3-NL1*01,22
200,IGHV3-h*01,15
236,IGHV1/OR15-2*03,6
245,IGHV2-26*01,3
221,IGHV3-53*04,1
203,IGHV3-33*05,4
188,IGHV1-24*01,1
224,IGHV3-72*01,4
221,IGHV3-20*01,4
212,IGHV1-46*02,9
239,IGHV1-18*01,50
206,IGHV2-5*91,1
251,IGHV3-71*01,1
245,IGHV1-3*01,1
215,IGHV4-30-2*91,3
239,IGHV3-15*05,1
188,IGHV1-f*01,31
159,IGHV4-34*13,4
208,IGHV3-74*03,8
208,IGHV3-30*15,5
206,IGHV3-66*04,6
133,IGHV4-34*13,6
233,IGHV1-18*01,6
221,IGHV3-64*91,73
208,IGHV1/OR15-3*02,1
235,IGHV3-23*04,2
209,IGHV1/OR15-4*01,13
206,IGHV3-53*04,15
230,IGHV3-66*04,3
200,IGHV3-53*04,2
206,IGHV4-59*91,2
209,IGHV4/OR15-8*03,92
218,IGHV3-53*04,576
206,IGHV4/OR15-8*02,4
221,IGHV3-48*01,67
221,IGHV3-33*05,1579
202,IGHV5-a*02,1
214,IGHV3-NL1*01,2
236,IGHV5-51*02,11
206,IGHV4-59*10,68
224,IGHV2-70*09,5
209,IGHV5-78*01,2
239,IGHV3-43*91,10
224,IGHV2-5*01,1
248,IGHV4-61*02,10
221,IGHV4-59*10,4
236,IGHV5-a*04,1
230,IGHV1-8*91,48
200,IGHV3-11*01,20
206,IGHV7-4-1*91,2
262,IGHV5-a*02,1
203,IGHV4/OR15-8*02,2
236,IGHV3-20*91,4
209,IGHV3-h*01,2
224,IGHV3-71*01,2
215,IGHV3-53*91,1
215,IGHV3-38*01,1
239,IGHV3-43*02,5
236,IGHV1/OR15-1*04,1
221,IGHV3-66*03,4
206,IGHV3-h*01,701
203,IGHV2-5*07,1
208,IGHV4-b*02,5
212,IGHV2-26*01,19
215,IGHV4-34*11,3
212,IGHV2-70*09,8
188,IGHV3-11*04,1
233,IGHV1/OR15-3*02,3
188,IGHV5-51*03,2
212,IGHV4-61*08,193
233,IGHV4-b*02,5
211,IGHV3-7*03,1
224,IGHV1-2*03,1
221,IGHV3-25*05,1
239,IGHV2-70*12,1
212,IGHV4-4*07,1
212,IGHV5-51*02,1
188,IGHV3-7*03,1
235,IGHV3-20*91,1
203,IGHV3-64*04,9
224,IGHV2-70*12,34
223,IGHV1-69*13,1
208,IGHV3-64*04,12
200,IGHV3-30*13,5
208,IGHV3-9*02,15
230,IGHV3-71*03,2
218,IGHV4/OR15-8*03,16
212,IGHV3-h*02,2
224,IGHV2-5*91,7
200,IGHV4/OR15-8*03,1
209,IGHV1-69*05,330
215,IGHV3-h*01,1
224,IGHV1-69*13,68
233,IGHV3-53*04,2
200,IGHV3-33*06,3
236,IGHV3-9*02,3
221,IGHV1-46*03,16
209,IGHV4-55*09,1
218,IGHV3-h*02,5
221,IGHV3/OR16-12*01,16
227,IGHV2-70*12,2
202,IGHV7-4-1*91,1
215,IGHV3-9*02,1
227,IGHV3-66*03,9
227,IGHV3-71*01,53
227,IGHV3-30*15,4
248,IGHV4-39*02,2
215,IGHV3-74*03,1
230,IGHV3-9*91,22
209,IGHV4-4*07,44
233,IGHV3-33*02,48
239,IGHV3-23*04,164
241,IGHV2-70*11,1
227,IGHV1-69*13,3
236,IGHV1-69*13,3
227,IGHV3-h*01,192
218,IGHV3-35*01,1
133,IGHV4-30-4*06,24
236,IGHV3/OR16-10*03,2
215,IGHV1/OR15-1*02,1
233,IGHV3-h*01,8
206,IGHV1-69*05,16
212,IGHV2-70*13,22
236,IGHV3/OR16-8*02,2
128,IGHV4-34*13,1
209,IGHV1/OR15-2*03,2
200,IGHV1-2*03,1
208,IGHV3-20*91,1
206,IGHV1/OR15-3*02,5
221,IGHV4-b*02,7
230,IGHV4-34*09,1
224,IGHV3-20*91,1
137,IGHV4-4*91,3
133,IGHV4-59*09,5
260,IGHV1-2*03,3
233,IGHV3-20*91,9
245,IGHV3-73*02,10
197,IGHV1-46*02,2
200,IGHV1-69*10,1
224,IGHV3-49*01,1
190,IGHV7-4-1*91,2
212,IGHV5-a*04,2
212,IGHV4-30-2*01,2
235,IGHV4/OR15-8*03,1
212,IGHV4-39*06,12
224,IGHV4-39*06,3
239,IGHV3/OR16-8*01,5
221,IGHV7-81*01,1
143,IGHV4-59*09,1
203,IGHV3-33*02,4
208,IGHV3-33*05,1
211,IGHV4-61*08,16
230,IGHV4-59*10,2
227,IGHV3-66*04,2
221,IGHV1-8*91,151
203,IGHV3-NL1*01,7
221,IGHV3-64*04,12457
236,IGHV3-33*06,1
214,IGHV3-49*05,6
254,IGHV3-NL1*01,7
230,IGHV1-46*02,2
155,IGHV4-34*13,4
208,IGHV1-3*02,5
200,IGHV4-59*10,3
146,IGHV4-59*09,13
224,IGHV4-30-2*91,56
206,IGHV3-72*01,8
218,IGHV3-13*04,4
275,IGHV3-h*02,1
206,IGHV3/OR16-10*03,2
230,IGHV3-53*91,1
200,IGHV3/OR16-12*01,4
185,IGHV4-59*08,4
212,IGHV3/OR16-9*01,4
209,IGHV3-9*02,366
237,IGHV3-33*02,6
206,IGHV3-53*03,33
236,IGHV3-71*01,2
209,IGHV3-71*03,1
233,IGHV2-5*09,1
182,IGHV3-h*01,13
161,IGHV4-34*13,86
209,IGHV6-1*02,1
218,IGHV1-8*91,11
161,IGHV4-30-4*06,15
203,IGHV1-2*03,3
220,IGHV1-46*02,1
113,IGHV4-59*09,1
224,IGHV3-73*02,28
203,IGHV4-59*10,7
200,IGHV4-61*08,2
227,IGHV3-47*02,1
200,IGHV3-11*04,23
245,IGHV3-72*01,6
212,IGHV3-NL1*01,3
229,IGHV3-h*02,2
203,IGHV4-59*91,2
227,IGHV3/OR16-6*02,1
188,IGHV1-69*10,21
212,IGHV1-8*91,10
194,IGHV3/OR16-9*01,5
209,IGHV1-46*03,1
242,IGHV3-73*02,10
227,IGHV3-NL1*01,2
221,IGHV4-61*02,17
224,IGHV1-58*02,2
200,IGHV3/OR16-9*01,8
206,IGHV3-11*01,4
224,IGHV1-46*03,1
209,IGHV1-f*01,35
227,IGHV1-46*02,3
227,IGHV5-a*04,3
194,IGHV3-49*05,3
237,IGHV3-23*04,1
208,IGHV5-a*02,13
218,IGHV4-59*10,3
230,IGHV3-47*01,1
218,IGHV1-24*01,3
227,IGHV4-59*10,1
220,IGHV3-64*04,4
233,IGHV1-8*91,27
233,IGHV4-59*10,14
206,IGHV1-69*10,14
206,IGHV5-78*01,1
242,IGHV4-61*08,6
214,IGHV4-b*02,1
218,IGHV4-61*08,3
206,IGHV2-70*11,3
206,IGHV3/OR16-12*01,2
202,IGHV3-74*03,1
236,IGHV1-8*91,28
206,IGHV4-4*07,182
239,IGHV4-61*08,72
218,IGHV1-NL1*91,2
251,IGHV3-9*02,1
