d_5p_del,d_3p_del,d_gene,count
3,3,IGHD6-25*01,2
4,4,IGHD1-1*01,3
17,4,IGHD2/OR15-2b*01,1
5,8,IGHD2-2*03,1
1,4,IGHD2-15*01,9
8,7,IGHD5/OR15-5b*01,2
15,5,IGHD2/OR15-2b*01,1
21,0,IGHD3-16*01,1
20,1,IGHD2-8*02,1
6,1,IGHD3-22*01,2
0,13,IGHD3-16*02,1
23,1,IGHD3-16*02,2
7,8,IGHD3-10*02,1
6,7,IGHD3-3*01,3
2,0,IGHD2-21*02,4
4,4,IGHD3-3*01,4
3,8,IGHD5-12*01,5
0,13,IGHD3-22*01,1
5,1,IGHD3-9*01,2
8,4,IGHD4-17*01,1
0,11,IGHD3-10*01,9
2,0,IGHD1-1*01,1
24,1,IGHD3-16*01,2
5,16,IGHD3-22*01,2
4,1,IGHD1-20*01,1
8,7,IGHD2-21*02,3
4,5,IGHD5/OR15-5b*01,1
6,4,IGHD3-22*01,7
9,1,IGHD2-21*02,1
1,1,IGHD2-8*02,2
2,2,IGHD6-19*01,8
0,4,IGHD1/OR15-1b*01,1
9,2,IGHD1-14*01,1
4,5,IGHD5-24*01,2
0,0,IGHD3-22*01,27
1,1,IGHD3-22*01,7
0,1,IGHD7-27*01,6
4,6,IGHD3-9*01,3
0,12,IGHD6-25*01,1
15,1,IGHD3/OR15-3b*01,2
7,8,IGHD6-13*01,1
2,4,IGHD6-6*01,1
2,8,IGHD1-14*01,1
6,7,IGHD2-21*02,1
7,9,IGHD5-12*01,1
1,16,IGHD3-9*01,1
3,2,IGHD3-22*01,2
5,8,IGHD6-6*01,1
4,3,IGHD4-17*01,6
13,2,IGHD3-16*02,1
10,2,IGHD3-22*01,2
10,1,IGHD2-2*03,2
12,0,IGHD2/OR15-2b*01,1
4,8,IGHD3/OR15-3b*01,2
6,2,IGHD2/OR15-2b*01,1
6,8,IGHD3-3*01,7
10,0,IGHD6-25*01,3
0,5,IGHD2-21*01,1
7,3,IGHD6-6*01,4
0,3,IGHD3-16*02,4
2,0,IGHD2-2*02,2
8,14,IGHD3-16*02,5
13,3,IGHD2-15*01,4
12,4,IGHD6-19*01,1
