d_gene,count
IGHD5-5*01,250
IGHD1-7*01,29
IGHD2-8*02,118
IGHD3-10*01,1144
IGHD6-6*01,225
IGHD6-25*01,99
IGHD2/OR15-2b*01,150
IGHD4-4*01,64
IGHD6-13*01,429
IGHD5/OR15-5b*01,113
IGHD1-26*01,424
IGHD4-17*01,200
IGHD3-22*01,817
IGHD2-2*02,293
IGHD3-3*01,398
IGHD2-21*02,250
IGHD3/OR15-3b*01,392
IGHD2-15*01,538
IGHD4/OR15-4b*01,60
IGHD1-20*01,42
IGHD6-19*01,539
IGHD3-16*01,89
IGHD3-9*01,467
IGHD2-8*01,84
IGHD5-24*01,204
IGHD7-27*01,185
IGHD3-10*02,212
IGHD1-14*01,61
IGHD1-1*01,62
IGHD2-2*01,14
IGHD2-2*03,655
IGHD2-21*01,123
IGHD4-23*01,170
IGHD3-3*02,231
IGHD5-12*01,219
IGHD3-16*02,570
IGHD1/OR15-1b*01,69
