j_3p_del,j_gene,count
2,IGHJ1*01_F,1
1,IGHJ4*01_F,1
2,IGHJ3*02_F,1
0,IGHJ6*03_F,9777
12,IGHJ4*02_F,1
4,IGHJ4*03_F,1
4,IGHJ2*01_F,1
3,IGHJ6*04_F,4
2,IGHJ6*02_F,2
0,IGHJ6*01_F,26
2,IGHJ2P*01_P,12
1,IGHJ1*01_F,217
0,IGHJ3*01_F,1294
1,IGHJ6*03_F,141
2,IGHJ4*02_F,15
3,IGHJ6*02_F,1
2,IGHJ6*04_F,1
1,IGHJ6*02_F,435
3,IGHJ6*03_F,8
2,IGHJ5*02_F,7
0,IGHJ1*01_F,2383
0,IGHJ3*02_F,7128
2,IGHJ5*01_F,1
0,IGHJ4*03_F,123
1,IGHJ6*01_F,4
3,IGHJ2*01_F,1
1,IGHJ6*04_F,17
7,IGHJ6*02_F,3
1,IGHJ2P*01_P,30
1,IGHJ2*01_F,58
1,IGHJ4*02_F,514
0,IGHJ6*02_F,10554
2,IGHJ6*03_F,3
0,IGHJ4*02_F,42133
8,IGHJ5*02_F,1
1,IGHJ3*02_F,79
0,IGHJ6*04_F,288
14,IGHJ2*01_F,1
4,IGHJ6*03_F,1
11,IGHJ2*01_F,1
3,IGHJ4*03_F,1
1,IGHJ5*01_F,6
6,IGHJ6*04_F,1
0,IGHJ5*02_F,7538
0,IGHJ2P*01_P,27
0,IGHJ4*01_F,220
1,IGHJ4*03_F,11
5,IGHJ6*02_F,2
15,IGHJ4*02_F,1
1,IGHJ3*01_F,74
3,IGHJ3*02_F,1
0,IGHJ2*01_F,2468
8,IGHJ3*02_F,1
0,IGHJ5*01_F,84
2,IGHJ2*01_F,3
1,IGHJ5*02_F,152
7,IGHJ3*01_F,4
