v_gene,count
IGHV3-43*91,25
IGHV5-51*02,120
IGHV4-59*91,6
IGHV3-33*06,75
IGHV4-39*02,9
IGHV4-59*10,37
IGHV3-66*04,15
IGHV3-30*13,3
IGHV1-8*91,107
IGHV3-48*02,35
IGHV3-19*01,3
IGHV3-74*03,145
IGHV3-23*04,630
IGHV1-2*05,1
IGHV3-30*05,1
IGHV3-9*02,172
IGHV3-30*15,72
IGHV1-3*01,89
IGHV3-64*04,400
IGHV3-9*91,10
IGHV4-55*08,1
IGHV3-53*01,69
IGHV3-71*03,4
IGHV3-66*03,77
IGHV3/OR16-13*91,1
IGHV4-61*07,47
IGHV2-26*01,2
IGHV4-59*03,3
IGHV3-64*91,10
IGHV4-34*05,2
IGHV3-20*91,102
IGHV4/OR15-8*02,24
IGHV3-48*01,7
IGHV4-34*11,12
IGHV1/OR15-2*01,1
IGHV3-53*91,3
IGHV4-55*09,2
IGHV4-30-4*02,1
IGHV3-21*03,5
IGHV3-h*02,678
IGHV4-4*91,3
IGHV3-64*02,5
IGHV3-71*02,6
IGHV3/OR16-9*01,4
IGHV4-55*01,1
IGHV4-59*08,11
IGHV3/OR16-14*01,1
IGHV3-72*01,36
IGHV1-8*02,3
IGHV4/OR15-8*03,163
IGHV4-61*06,25
IGHV1-2*03,50
IGHV4-30-2*91,24
IGHV3/OR16-8*02,16
IGHV7-81*01,1
IGHV3-35*01,5
IGHV3-11*04,34
IGHV3/OR16-12*01,4
IGHV3-71*01,156
IGHV3-66*01,20
IGHV4-b*02,20
IGHV4-59*09,33
IGHV3/OR16-6*02,2
IGHV1-69*13,222
IGHV3-33*03,11
IGHV2-70*12,10
IGHV3/OR16-15*02,1
IGHV2-5*09,1
IGHV4-34*13,94
IGHV3-73*02,74
IGHV4-39*01,3
IGHV1-3*02,8
IGHV1/OR15-9*01,3
IGHV3-15*05,6
IGHV2-5*91,3
IGHV3-62*01,1
IGHV4-39*06,14
IGHV6-1*02,4
IGHV5-a*04,20
IGHV3-33*02,115
IGHV3-30*19,1
IGHV2-70*13,2
IGHV1/OR15-3*02,16
IGHV7-4-1*91,9
IGHV3-7*03,57
IGHV1/OR15-1*04,13
IGHV4-61*08,135
IGHV3-33*05,74
IGHV3-h*01,412
IGHV1/OR15-4*01,16
IGHV5-78*01,8
IGHV4-34*09,3
IGHV3-47*01,1
IGHV1-58*02,6
IGHV1-18*01,238
IGHV3-20*01,5
IGHV1-46*03,8
IGHV4-30-2*03,2
IGHV4-30-4*06,209
IGHV1/OR15-3*03,3
IGHV4-61*03,14
IGHV3-13*04,7
IGHV3-53*04,16
IGHV3/OR16-8*01,6
IGHV3-43*02,13
IGHV5-51*04,8
IGHV3-15*07,84
IGHV3-11*01,31
IGHV1-69*10,41
IGHV1-24*01,26
IGHV1/OR21-1*01,2
IGHV3-16*02,1
IGHV5-a*02,9
IGHV1-46*02,57
IGHV1/OR15-1*02,1
IGHV4-61*02,112
IGHV1-69*05,39
IGHV1-45*01,1
IGHV3-23*02,14
IGHV2-5*10,1
IGHV3-53*03,28
IGHV3/OR15-7*05,1
IGHV2/OR16-5*01,2
IGHV4-4*07,50
IGHV1-f*01,45
IGHV5-51*03,27
IGHV3-NL1*01,557
IGHV3/OR16-10*03,4
IGHV1-NL1*91,2
IGHV1-18*03,3
IGHV1-2*04,16
IGHV3-49*05,82
IGHV1/OR15-2*03,30
IGHV3-d*01,7
IGHV2-5*01,1
IGHV4-30-2*01,1
IGHV3-23*03,79
IGHV3-53*02,20
IGHV4-4*01,1
