d_gene,count
IGHD5-5*01,150
IGHD2-8*02,79
IGHD3-10*01,491
IGHD6-6*01,155
IGHD2/OR15-2b*01,80
IGHD4-4*01,36
IGHD6-13*01,228
IGHD3-3*01,178
IGHD1-7*01,19
IGHD1-26*01,162
IGHD4-17*01,104
IGHD3-22*01,387
IGHD2-2*02,90
IGHD5/OR15-5b*01,107
IGHD2-21*02,129
IGHD2-8*01,44
IGHD2-15*01,237
IGHD6-25*01,63
IGHD1-20*01,17
IGHD6-19*01,370
IGHD3-16*01,81
IGHD3-9*01,184
IGHD3/OR15-3b*01,112
IGHD5-24*01,114
IGHD7-27*01,128
IGHD3-10*02,164
IGHD2-2*01,6
IGHD1-1*01,25
IGHD4/OR15-4b*01,40
IGHD2-2*03,310
IGHD2-21*01,50
IGHD4-23*01,115
IGHD3-3*02,134
IGHD5-12*01,95
IGHD3-16*02,276
IGHD1/OR15-1b*01,24
