v_gene,count
IGHV5-51*02,151
IGHV3-33*06,31
IGHV4-39*02,3
IGHV4-59*10,27
IGHV3-66*04,7
IGHV3-48*02,14
IGHV1-18*04,211
IGHV3-74*03,128
IGHV1-2*05,3
IGHV3-25*03,1
IGHV3-9*02,159
IGHV3-30*15,32
IGHV1-3*01,44
IGHV3-64*04,203
IGHV4-30-2*06,8
IGHV4-55*08,4
IGHV3-21*02,2
IGHV3-30*05,1
IGHV3/OR16-12*01,1
IGHV3-71*03,29
IGHV3-66*03,31
IGHV4-61*07,18
IGHV2-26*01,7
IGHV2-10*01,1
IGHV1-69-2*01,2
IGHV3-20*02,9
IGHV4-34*05,1
IGHV4/OR15-8*02,26
IGHV3-48*01,12
IGHV4-34*11,4
IGHV1/OR15-2*01,2
IGHV3-33-2*01,1
IGHV2-70*09,1
IGHV3-15*03,1
IGHV3-21*03,3
IGHV3-71*02,6
IGHV3-52*03,2
IGHV3/OR16-9*01,11
IGHV3-47*02,2
IGHV4-59*08,14
IGHV3/OR16-14*01,1
IGHV3-72*01,57
IGHV1-8*02,88
IGHV3-22*02,6
IGHV4/OR15-8*03,112
IGHV4-61*06,30
IGHV1-2*03,4
IGHV3-30*13,4
IGHV7-81*01,3
IGHV3-19*01,11
IGHV3-35*01,2
IGHV3-11*04,39
IGHV3-71*01,19
IGHV3-66*01,3
IGHV4-59*09,49
IGHV3/OR16-6*02,1
IGHV3-33*03,14
IGHV2-70*12,55
IGHV2-5*09,23
IGHV5-10-1*02,4
IGHV4-34*13,86
IGHV1-69D*01,146
IGHV3-73*02,21
IGHV3-49*01,1
IGHV1-3*02,11
IGHV3-15*05,8
IGHV4-39*06,1
IGHV1-NL1*01,20
IGHV6-1*02,20
IGHV3-33*02,6
IGHV3-30*09,1
IGHV2-70*13,2
IGHV3-38*03,2
IGHV7-4-1*01,4
IGHV4-30-4*05,1
IGHV1/OR15-3*02,9
IGHV1-45*03,1
IGHV3-7*03,123
IGHV1/OR15-1*04,12
IGHV4-61*08,103
IGHV3-33*05,27
IGHV1/OR15-4*01,2
IGHV4-28*06,1
IGHV4-39*07,17
IGHV4-34*09,5
IGHV5-10-1*04,1
IGHV4-4*01,1
IGHV1/OR21-1*01,3
IGHV1-46*03,6
IGHV4-30-4*06,90
IGHV1/OR15-3*03,2
IGHV4-61*03,15
IGHV3-53*04,13
IGHV3-25*04,2
IGHV3-54*02,1
IGHV3/OR16-8*01,1
IGHV3-43*02,12
IGHV3-7*02,112
IGHV4-4*08,4
IGHV3-30-3*03,13
IGHV1-45*02,1
IGHV5-51*04,19
IGHV3-15*07,106
IGHV3-11*01,33
IGHV3-29*01,2
IGHV1-24*01,63
IGHV3-20*01,37
IGHV4-59*04,1
IGHV3-64D*06,4
IGHV3-69-1*02,107
IGHV3-38-3*01,10
IGHV1-46*02,112
IGHV3-13*05,14
IGHV3-43D*01,27
IGHV3-23D*01,348
IGHV4-61*02,109
IGHV1-69*05,34
IGHV3-23*02,5
IGHV3-53*03,12
IGHV3-25*05,1
IGHV3-64*02,10
IGHV3-7*01,420
IGHV4-4*07,47
IGHV5-51*03,38
IGHV5-78*01,4
IGHV3-NL1*01,320
IGHV3/OR16-10*03,3
IGHV3-23*03,63
IGHV4-39*01,2
IGHV1-2*04,116
IGHV3-9*03,30
IGHV3-49*05,77
IGHV1/OR15-2*03,15
IGHV3-64*05,1
IGHV7-4-1*04,5
IGHV3/OR16-16*01,1
IGHV2-70D*14,41
IGHV1-69*14,25
IGHV3-53*02,65
IGHV3-52*01,4
IGHV1-58*02,8
