bin_low_edge,contents,binlabel,error
-11.5,0.0,,0.0
-10.5,1.0,,1.0
-9.5,1,,1.0
-8.5,0.0,,0.0
-7.5,0.0,,0.0
-6.5,6,,2.449489742783178
-5.5,1,,1.0
-4.5,7,,2.6457513110645907
-3.5,12,,3.4641016151377544
-2.5,156,,12.489995996796797
-1.5,26,,5.0990195135927845
-0.5,2736,,52.306787322488084
0.5,27,,5.196152422706632
1.5,23,,4.795831523312719
2.5,0.0,,0.0
3.5,0.0,,0.0
4.5,0.0,,0.0
5.5,0.0,,0.0
6.5,1,,1.0
7.5,0.0,,0.0
8.5,0.0,,0.0
9.5,1,,1.0
10.5,2.0,,1.4142135623730951
11.5,0.0,,0.0
