bin_low_edge,contents,binlabel,error
-4.5,0.0,,0.0
-3.5,2.0,,1.4142135623730951
-2.5,2,,1.4142135623730951
-1.5,11,,3.3166247903554
-0.5,2836,,53.25410782277739
0.5,100,,10.0
1.5,22,,4.69041575982343
2.5,11,,3.3166247903554
3.5,8,,2.8284271247461903
4.5,0.0,,0.0
5.5,1,,1.0
6.5,0.0,,0.0
7.5,2,,1.4142135623730951
8.5,0.0,,0.0
9.5,2,,1.4142135623730951
10.5,1,,1.0
11.5,0.0,,0.0
12.5,0.0,,0.0
13.5,1,,1.0
14.5,0.0,,0.0
15.5,0.0,,0.0
16.5,0.0,,0.0
17.5,0.0,,0.0
18.5,0.0,,0.0
19.5,0.0,,0.0
20.5,0.0,,0.0
21.5,0.0,,0.0
22.5,0.0,,0.0
23.5,0.0,,0.0
24.5,0.0,,0.0
25.5,0.0,,0.0
26.5,0.0,,0.0
27.5,0.0,,0.0
28.5,0.0,,0.0
29.5,0.0,,0.0
30.5,0.0,,0.0
31.5,0.0,,0.0
32.5,0.0,,0.0
33.5,0.0,,0.0
34.5,0.0,,0.0
35.5,0.0,,0.0
36.5,1.0,,1.0
37.5,0.0,,0.0
