bin_low_edge,contents,binlabel,error
-2.5,0.0,,0.0
-1.5,7.0,,2.6457513110645907
-0.5,2911,,53.95368384086484
0.5,38,,6.164414002968976
1.5,27,,5.196152422706632
2.5,2,,1.4142135623730951
3.5,5,,2.23606797749979
4.5,1,,1.0
5.5,5,,2.23606797749979
6.5,0.0,,0.0
7.5,1,,1.0
8.5,0.0,,0.0
9.5,1,,1.0
10.5,0.0,,0.0
11.5,0.0,,0.0
12.5,0.0,,0.0
13.5,1,,1.0
14.5,0.0,,0.0
15.5,0.0,,0.0
16.5,0.0,,0.0
17.5,0.0,,0.0
18.5,0.0,,0.0
19.5,0.0,,0.0
20.5,0.0,,0.0
21.5,0.0,,0.0
22.5,1.0,,1.0
23.5,0.0,,0.0
