bin_low_edge,contents,binlabel,error
-1.5,0.0,,0.0
-0.5,2801.0,,52.92447448959697
0.5,105,,10.246950765959598
1.5,19,,4.358898943540674
2.5,17,,4.123105625617661
3.5,4,,2.0
4.5,15,,3.872983346207417
5.5,2,,1.4142135623730951
6.5,22,,4.69041575982343
7.5,3,,1.7320508075688772
8.5,1,,1.0
9.5,1,,1.0
10.5,2,,1.4142135623730951
11.5,0.0,,0.0
12.5,0.0,,0.0
13.5,1,,1.0
14.5,0.0,,0.0
15.5,0.0,,0.0
16.5,0.0,,0.0
17.5,2,,1.4142135623730951
18.5,0.0,,0.0
19.5,1,,1.0
20.5,1,,1.0
21.5,0.0,,0.0
22.5,0.0,,0.0
23.5,0.0,,0.0
24.5,0.0,,0.0
25.5,0.0,,0.0
26.5,0.0,,0.0
27.5,0.0,,0.0
28.5,0.0,,0.0
29.5,0.0,,0.0
30.5,0.0,,0.0
31.5,0.0,,0.0
32.5,0.0,,0.0
33.5,0.0,,0.0
34.5,0.0,,0.0
35.5,0.0,,0.0
36.5,0.0,,0.0
37.5,0.0,,0.0
38.5,0.0,,0.0
39.5,1,,1.0
40.5,0.0,,0.0
41.5,0.0,,0.0
42.5,0.0,,0.0
43.5,0.0,,0.0
44.5,0.0,,0.0
45.5,0.0,,0.0
46.5,0.0,,0.0
47.5,0.0,,0.0
48.5,0.0,,0.0
49.5,0.0,,0.0
50.5,0.0,,0.0
51.5,0.0,,0.0
52.5,0.0,,0.0
53.5,0.0,,0.0
54.5,0.0,,0.0
55.5,0.0,,0.0
56.5,0.0,,0.0
57.5,0.0,,0.0
58.5,0.0,,0.0
59.5,0.0,,0.0
60.5,0.0,,0.0
61.5,0.0,,0.0
62.5,0.0,,0.0
63.5,0.0,,0.0
64.5,0.0,,0.0
65.5,0.0,,0.0
66.5,0.0,,0.0
67.5,0.0,,0.0
68.5,1,,1.0
69.5,0.0,,0.0
70.5,0.0,,0.0
71.5,0.0,,0.0
72.5,1.0,,1.0
73.5,0.0,,0.0
