bin_low_edge,contents,binlabel,error
-0.016,0.0,,0.0
0.0,1.0,,0.0005466958476392225
0.016,1.0,,0.0014388227324170222
0.032,0.96875,,0.07252628175743203
0.048,0.918918918918919,,0.09117976431093411
0.064,0.9166666666666666,,0.1165885175996253
0.08,1.0,,0.016507867559761524
0.096,1.0,,0.026439609493000615
0.112,0.95,,0.11102943419209121
0.128,1.0,,0.1149118479285397
0.14400000000000002,0.0,,0.0
0.16,1.0,,0.42264973081037416
0.176,0.6666666666666666,,0.4203981019244451
0.192,0.0,,0.0
0.20800000000000002,0.0,,0.0
0.224,0.0,,0.0
0.24,0.0,,0.0
0.256,0.0,,0.0
0.272,0.0,,0.0
0.28800000000000003,0.0,,0.0
0.304,0.0,,0.0
0.32,0.0,,0.0
0.336,0.0,,0.0
0.352,0.0,,0.0
0.368,0.0,,0.0
0.384,0.0,,0.0
0.4,0.0,,0.0
