bin_low_edge,contents,binlabel,error
-1.5,0.0,,0.0
-0.5,2408.0,,49.07137658554119
0.5,417,,20.42057785666214
1.5,65,,8.06225774829855
2.5,51,,7.14142842854285
3.5,19,,4.358898943540674
4.5,5,,2.23606797749979
5.5,10,,3.1622776601683795
6.5,11,,3.3166247903554
7.5,7,,2.6457513110645907
8.5,2,,1.4142135623730951
9.5,0.0,,0.0
10.5,0.0,,0.0
11.5,0.0,,0.0
12.5,0.0,,0.0
13.5,1,,1.0
14.5,0.0,,0.0
15.5,0.0,,0.0
16.5,0.0,,0.0
17.5,0.0,,0.0
18.5,2,,1.4142135623730951
19.5,0.0,,0.0
20.5,1,,1.0
21.5,0.0,,0.0
22.5,0.0,,0.0
23.5,0.0,,0.0
24.5,0.0,,0.0
25.5,0.0,,0.0
26.5,0.0,,0.0
27.5,0.0,,0.0
28.5,0.0,,0.0
29.5,0.0,,0.0
30.5,0.0,,0.0
31.5,0.0,,0.0
32.5,0.0,,0.0
33.5,0.0,,0.0
34.5,0.0,,0.0
35.5,0.0,,0.0
36.5,1.0,,1.0
37.5,0.0,,0.0
