bin_low_edge,contents,binlabel,error
-6.5,0.0,,0.0
-5.5,1.0,,1.0
-4.5,6,,2.449489742783178
-3.5,10,,3.1622776601683795
-2.5,46,,6.782329983125268
-1.5,313,,17.69180601295413
-0.5,2442,,49.416596402423345
0.5,137,,11.704699910719626
1.5,19,,4.358898943540674
2.5,12,,3.4641016151377544
3.5,4,,2.0
4.5,4,,2.0
5.5,1,,1.0
6.5,0.0,,0.0
7.5,0.0,,0.0
8.5,0.0,,0.0
9.5,0.0,,0.0
10.5,0.0,,0.0
11.5,1,,1.0
12.5,1,,1.0
13.5,0.0,,0.0
14.5,1,,1.0
15.5,1,,1.0
16.5,0.0,,0.0
17.5,0.0,,0.0
18.5,0.0,,0.0
19.5,0.0,,0.0
20.5,0.0,,0.0
21.5,0.0,,0.0
22.5,0.0,,0.0
23.5,0.0,,0.0
24.5,0.0,,0.0
25.5,0.0,,0.0
26.5,0.0,,0.0
27.5,0.0,,0.0
28.5,1.0,,1.0
29.5,0.0,,0.0
