bin_low_edge,contents,binlabel,error
-1.5,0.0,,0.0
-0.5,5.0,,2.23606797749979
0.5,34.0,,5.830951894845301
1.5,73.0,,8.54400374531753
2.5,112.0,,10.583005244258363
3.5,139.0,,11.789826122551595
4.5,130.0,,11.40175425099138
5.5,154.0,,12.409673645990857
6.5,106.0,,10.295630140987
7.5,95.0,,9.746794344808963
8.5,113.0,,10.63014581273465
9.5,101.0,,10.04987562112089
10.5,93.0,,9.643650760992955
11.5,93.0,,9.643650760992955
12.5,87.0,,9.327379053088816
13.5,84.0,,9.16515138991168
14.5,89.0,,9.433981132056603
15.5,84.0,,9.16515138991168
16.5,81.0,,9.0
17.5,72.0,,8.48528137423857
18.5,60.0,,7.745966692414834
19.5,61.0,,7.810249675906654
20.5,46.0,,6.782329983125268
21.5,54.0,,7.3484692283495345
22.5,47.0,,6.855654600401044
23.5,64.0,,8.0
24.5,57.0,,7.54983443527075
25.5,58.0,,7.615773105863909
26.5,43.0,,6.557438524302
27.5,43.0,,6.557438524302
28.5,40.0,,6.324555320336759
29.5,36.0,,6.0
30.5,32.0,,5.656854249492381
31.5,28.0,,5.291502622129181
32.5,31.0,,5.5677643628300215
33.5,23.0,,4.795831523312719
34.5,17.0,,4.123105625617661
35.5,18.0,,4.242640687119285
36.5,26.0,,5.0990195135927845
37.5,28.0,,5.291502622129181
38.5,19.0,,4.358898943540674
39.5,15.0,,3.872983346207417
40.5,30.0,,5.477225575051661
41.5,14.0,,3.7416573867739413
42.5,5.0,,2.23606797749979
43.5,19.0,,4.358898943540674
44.5,11.0,,3.3166247903554
45.5,14.0,,3.7416573867739413
46.5,12.0,,3.4641016151377544
47.5,17.0,,4.123105625617661
48.5,12.0,,3.4641016151377544
49.5,6.0,,2.449489742783178
50.5,7.0,,2.6457513110645907
51.5,5.0,,2.23606797749979
52.5,1.0,,1.0
53.5,5.0,,2.23606797749979
54.5,6.0,,2.449489742783178
55.5,3.0,,1.7320508075688772
56.5,3.0,,1.7320508075688772
57.5,3.0,,1.7320508075688772
58.5,2.0,,1.4142135623730951
59.5,1.0,,1.0
60.5,0.0,,0.0
61.5,2.0,,1.4142135623730951
62.5,1.0,,1.0
63.5,1.0,,1.0
64.5,1.0,,1.0
65.5,1.0,,1.0
66.5,2.0,,1.4142135623730951
67.5,3.0,,1.7320508075688772
68.5,2.0,,1.4142135623730951
69.5,1.0,,1.0
70.5,2.0,,1.4142135623730951
71.5,2.0,,1.4142135623730951
72.5,3.0,,1.7320508075688772
73.5,1.0,,1.0
74.5,3.0,,1.7320508075688772
75.5,4.0,,2.0
76.5,2.0,,1.4142135623730951
77.5,0.0,,0.0
78.5,6.0,,2.449489742783178
79.5,4.0,,2.0
80.5,4.0,,2.0
81.5,0.0,,0.0
82.5,0.0,,0.0
83.5,1.0,,1.0
84.5,0.0,,0.0
85.5,1.0,,1.0
86.5,0.0,,0.0
87.5,0.0,,0.0
88.5,0.0,,0.0
89.5,0.0,,0.0
90.5,0.0,,0.0
