bin_low_edge,contents,binlabel,error
-1.5,0.0,,0.0
-0.5,1549.0,,39.35733730830886
0.5,941.0,,30.675723300355934
1.5,273.0,,16.522711641858304
2.5,92.0,,9.591663046625438
3.5,46.0,,6.782329983125268
4.5,33.0,,5.744562646538029
5.5,25.0,,5.0
6.5,13.0,,3.605551275463989
7.5,9.0,,3.0
8.5,5.0,,2.23606797749979
9.5,0.0,,0.0
10.5,2.0,,1.4142135623730951
11.5,4.0,,2.0
12.5,2.0,,1.4142135623730951
13.5,2.0,,1.4142135623730951
14.5,0.0,,0.0
15.5,1.0,,1.0
16.5,0.0,,0.0
17.5,0.0,,0.0
18.5,1.0,,1.0
19.5,2.0,,1.4142135623730951
20.5,0.0,,0.0
