bin_low_edge,contents,binlabel,error
-1.5,0.0,,0.0
-0.5,689.0,,26.248809496813376
0.5,698.0,,26.419689627245813
1.5,493.0,,22.20360331117452
2.5,344.0,,18.547236990991408
3.5,240.0,,15.491933384829668
4.5,137.0,,11.704699910719626
5.5,94.0,,9.695359714832659
6.5,52.0,,7.211102550927978
7.5,23.0,,4.795831523312719
8.5,13.0,,3.605551275463989
9.5,5.0,,2.23606797749979
10.5,4.0,,2.0
11.5,7.0,,2.6457513110645907
12.5,7.0,,2.6457513110645907
13.5,3.0,,1.7320508075688772
14.5,5.0,,2.23606797749979
15.5,0.0,,0.0
