bin_low_edge,contents,binlabel,error
-1.5,0.0,,0.0
-0.5,9.0,,3.0
0.5,64.0,,8.0
1.5,95.0,,9.746794344808963
2.5,144.0,,12.0
3.5,178.0,,13.341664064126334
4.5,171.0,,13.076696830622021
5.5,125.0,,11.180339887498949
6.5,133.0,,11.532562594670797
7.5,116.0,,10.770329614269007
8.5,128.0,,11.313708498984761
9.5,97.0,,9.848857801796104
10.5,119.0,,10.908712114635714
11.5,90.0,,9.486832980505138
12.5,84.0,,9.16515138991168
13.5,88.0,,9.38083151964686
14.5,83.0,,9.1104335791443
15.5,94.0,,9.695359714832659
16.5,73.0,,8.54400374531753
17.5,69.0,,8.306623862918075
18.5,58.0,,7.615773105863909
19.5,71.0,,8.426149773176359
20.5,71.0,,8.426149773176359
21.5,57.0,,7.54983443527075
22.5,53.0,,7.280109889280518
23.5,49.0,,7.0
24.5,53.0,,7.280109889280518
25.5,29.0,,5.385164807134504
26.5,44.0,,6.6332495807108
27.5,26.0,,5.0990195135927845
28.5,23.0,,4.795831523312719
29.5,18.0,,4.242640687119285
30.5,28.0,,5.291502622129181
31.5,23.0,,4.795831523312719
32.5,22.0,,4.69041575982343
33.5,19.0,,4.358898943540674
34.5,19.0,,4.358898943540674
35.5,15.0,,3.872983346207417
36.5,22.0,,4.69041575982343
37.5,14.0,,3.7416573867739413
38.5,15.0,,3.872983346207417
39.5,14.0,,3.7416573867739413
40.5,13.0,,3.605551275463989
41.5,9.0,,3.0
42.5,9.0,,3.0
43.5,8.0,,2.8284271247461903
44.5,4.0,,2.0
45.5,4.0,,2.0
46.5,5.0,,2.23606797749979
47.5,6.0,,2.449489742783178
48.5,2.0,,1.4142135623730951
49.5,2.0,,1.4142135623730951
50.5,2.0,,1.4142135623730951
51.5,3.0,,1.7320508075688772
52.5,4.0,,2.0
53.5,2.0,,1.4142135623730951
54.5,38.0,,6.164414002968976
55.5,0.0,,0.0
