bin_low_edge,contents,binlabel,error
-0.5,0.0,,0.0
0.5,187.0,IGHD1-1*01,13.674794331177344
1.5,6.0,IGHD1-20*01,2.449489742783178
2.5,251.0,IGHD1-26*01,15.84297951775486
3.5,21.0,IGHD1-7*01,4.58257569495584
4.5,148.0,IGHD2-15*01,12.165525060596439
5.5,159.0,IGHD2-2*01,12.609520212918492
6.5,243.0,IGHD2-2*02,15.588457268119896
7.5,101.0,IGHD2-2*03,10.04987562112089
8.5,125.0,IGHD2-21*01,11.180339887498949
9.5,79.0,IGHD2-21*02,8.888194417315589
10.5,147.0,IGHD2-8*01,12.12435565298214
11.5,47.0,IGHD2-8*02,6.855654600401044
12.5,49.0,IGHD3-10*01,7.0
13.5,150.0,IGHD3-10*02,12.24744871391589
14.5,132.0,IGHD3-16*01,11.489125293076057
15.5,29.0,IGHD3-16*02,5.385164807134504
16.5,29.0,IGHD3-22*01,5.385164807134504
17.5,50.0,IGHD3-3*01,7.0710678118654755
18.5,73.0,IGHD3-3*02,8.54400374531753
19.5,31.0,IGHD3-9*01,5.5677643628300215
20.5,114.0,IGHD4-17*01,10.677078252031311
21.5,165.0,IGHD5-12*01,12.84523257866513
22.5,92.0,IGHD5-18*01,9.591663046625438
23.5,51.0,IGHD6-13*01,7.14142842854285
24.5,152.0,IGHD6-19*01,12.328828005937952
25.5,106.0,IGHD6-25*01,10.295630140987
26.5,60.0,IGHD6-6*01,7.745966692414834
27.5,17.0,IGHD7-27*01,4.123105625617661
28.5,0.0,,0.0
