bin_low_edge,contents,binlabel,error
-0.5,0.0,,0.0
0.5,223.0,IGHJ1*01,14.933184523068078
1.5,210.0,IGHJ2*01,14.491376746189438
2.5,319.0,IGHJ3*01,17.86057109949175
3.5,349.0,IGHJ3*02,18.681541692269406
4.5,243.0,IGHJ4*01,15.588457268119896
5.5,246.0,IGHJ4*02,15.684387141358123
6.5,61.0,IGHJ4*03,7.810249675906654
7.5,126.0,IGHJ5*01,11.224972160321824
8.5,124.0,IGHJ5*02,11.135528725660043
9.5,104.0,IGHJ6*01,10.198039027185569
10.5,188.0,IGHJ6*02,13.711309200802088
11.5,302.0,IGHJ6*03,17.378147196982766
12.5,319.0,IGHJ6*04,17.86057109949175
13.5,0.0,,0.0
