bin_low_edge,contents,binlabel,error
-0.5,0.0,,0.0
0.5,61.0,IGHV1-18*04,7.810249675906654
1.5,38.0,IGHV1-2*05,6.164414002968976
2.5,16.0,IGHV1-24*01,4.0
3.5,60.0,IGHV1-3*02,7.745966692414834
4.5,7.0,IGHV1-45*02,2.6457513110645907
5.5,32.0,IGHV1-46*02,5.656854249492381
6.5,9.0,IGHV1-58*02,3.0
7.5,315.0,IGHV1-69*12,17.74823934929885
8.5,28.0,IGHV1-8*01,5.291502622129181
9.5,53.0,IGHV2-5*02,7.280109889280518
10.5,112.0,IGHV2-70*10,10.583005244258363
11.5,7.0,IGHV3-11*04,2.6457513110645907
12.5,67.0,IGHV3-13*01,8.18535277187245
13.5,96.0,IGHV3-15*02,9.797958971132712
14.5,32.0,IGHV3-21*04,5.656854249492381
15.5,38.0,IGHV3-23*04,6.164414002968976
16.5,35.0,IGHV3-23*05,5.916079783099616
17.5,149.0,IGHV3-30*08,12.206555615733702
18.5,78.0,IGHV3-33*03,8.831760866327848
19.5,9.0,IGHV3-43*01,3.0
20.5,22.0,IGHV3-48*04,4.69041575982343
21.5,7.0,IGHV3-49*01,2.6457513110645907
22.5,28.0,IGHV3-53*04,5.291502622129181
23.5,12.0,IGHV3-64*02,3.4641016151377544
24.5,9.0,IGHV3-64*04,3.0
25.5,78.0,IGHV3-7*03,8.831760866327848
26.5,4.0,IGHV3-72*01,2.0
27.5,89.0,IGHV3-74*02,9.433981132056603
28.5,43.0,IGHV3-9*02,6.557438524302
29.5,108.0,IGHV4-28*02,10.392304845413264
30.5,87.0,IGHV4-30-2*01,9.327379053088816
31.5,53.0,IGHV4-30-4*01,7.280109889280518
32.5,8.0,IGHV4-30-4*07,2.8284271247461903
33.5,41.0,IGHV4-34*05,6.4031242374328485
34.5,50.0,IGHV4-34*10,7.0710678118654755
35.5,8.0,IGHV4-38-2*02,2.8284271247461903
36.5,54.0,IGHV4-39*06,7.3484692283495345
37.5,87.0,IGHV4-4*02,9.327379053088816
38.5,73.0,IGHV4-4*07,8.54400374531753
39.5,56.0,IGHV4-4*08,7.483314773547883
40.5,43.0,IGHV4-59*02,6.557438524302
41.5,84.0,IGHV4-59*04,9.16515138991168
42.5,49.0,IGHV4-59*05,7.0
43.5,75.0,IGHV4-59*06,8.660254037844387
44.5,36.0,IGHV4-59*10,6.0
45.5,110.0,IGHV4-61*01,10.488088481701515
46.5,27.0,IGHV4-61*05,5.196152422706632
47.5,136.0,IGHV5-10-1*01,11.661903789690601
48.5,95.0,IGHV5-51*04,9.746794344808963
49.5,0.0,,0.0
