bin_low_edge,contents,binlabel,error
-1.5,0.0,,0.0
-0.5,16.0,,4.0
0.5,125.0,,11.180339887498949
1.5,303.0,,17.406895185529212
2.5,400.0,,20.0
3.5,554.0,,23.53720459187964
4.5,476.0,,21.817424229271428
5.5,380.0,,19.493588689617926
6.5,242.0,,15.556349186104045
7.5,145.0,,12.041594578792296
8.5,73.0,,8.54400374531753
9.5,33.0,,5.744562646538029
10.5,15.0,,3.872983346207417
11.5,7.0,,2.6457513110645907
12.5,5.0,,2.23606797749979
13.5,3.0,,1.7320508075688772
14.5,4.0,,2.0
15.5,6.0,,2.449489742783178
16.5,1.0,,1.0
17.5,3.0,,1.7320508075688772
18.5,5.0,,2.23606797749979
19.5,5.0,,2.23606797749979
20.5,5.0,,2.23606797749979
21.5,6.0,,2.449489742783178
22.5,6.0,,2.449489742783178
23.5,8.0,,2.8284271247461903
24.5,7.0,,2.6457513110645907
25.5,5.0,,2.23606797749979
26.5,7.0,,2.6457513110645907
27.5,4.0,,2.0
28.5,6.0,,2.449489742783178
29.5,11.0,,3.3166247903554
30.5,11.0,,3.3166247903554
31.5,14.0,,3.7416573867739413
32.5,12.0,,3.4641016151377544
33.5,15.0,,3.872983346207417
34.5,14.0,,3.7416573867739413
35.5,8.0,,2.8284271247461903
36.5,7.0,,2.6457513110645907
37.5,10.0,,3.1622776601683795
38.5,6.0,,2.449489742783178
39.5,7.0,,2.6457513110645907
40.5,6.0,,2.449489742783178
41.5,3.0,,1.7320508075688772
42.5,1.0,,1.0
43.5,4.0,,2.0
44.5,1.0,,1.0
45.5,1.0,,1.0
46.5,2.0,,1.4142135623730951
47.5,0.0,,0.0
48.5,1.0,,1.0
49.5,1.0,,1.0
50.5,1.0,,1.0
51.5,1.0,,1.0
52.5,1.0,,1.0
53.5,0.0,,0.0
54.5,0.0,,0.0
55.5,0.0,,0.0
56.5,0.0,,0.0
57.5,0.0,,0.0
58.5,1.0,,1.0
59.5,0.0,,0.0
60.5,0.0,,0.0
61.5,0.0,,0.0
62.5,0.0,,0.0
63.5,2.0,,1.4142135623730951
64.5,0.0,,0.0
65.5,1.0,,1.0
66.5,0.0,,0.0
67.5,0.0,,0.0
68.5,0.0,,0.0
69.5,0.0,,0.0
70.5,0.0,,0.0
71.5,0.0,,0.0
72.5,0.0,,0.0
73.5,1.0,,1.0
74.5,0.0,,0.0
75.5,0.0,,0.0
76.5,0.0,,0.0
77.5,0.0,,0.0
78.5,0.0,,0.0
79.5,0.0,,0.0
80.5,0.0,,0.0
81.5,0.0,,0.0
82.5,0.0,,0.0
83.5,0.0,,0.0
84.5,0.0,,0.0
85.5,0.0,,0.0
86.5,0.0,,0.0
87.5,0.0,,0.0
88.5,0.0,,0.0
89.5,2.0,,1.4142135623730951
90.5,0.0,,0.0
