bin_low_edge,contents,binlabel,error
-0.01,0.0,,0.0
0.0,0.49366666666666664,,0.012827920936595905
0.01,0.302,,0.01003327796219494
0.02,0.048,,0.004
0.03,0.06266666666666666,,0.004570436400267362
0.04,0.015333333333333332,,0.002260776661041756
0.05,0.021333333333333333,,0.0026666666666666666
0.06,0.005666666666666667,,0.0013743685418725535
0.07,0.018333333333333333,,0.002472066162365221
0.08,0.003,,0.001
0.09,0.009333333333333334,,0.0017638342073763938
0.1,0.0013333333333333333,,0.0006666666666666666
0.11,0.006666666666666667,,0.00149071198499986
0.12,0.002,,0.000816496580927726
0.13,0.001,,0.0005773502691896257
0.14,0.0026666666666666666,,0.0009428090415820634
0.15,0.001,,0.0005773502691896257
0.16,0.0006666666666666666,,0.0004714045207910317
0.17,0.0,,0.0
0.18,0.0,,0.0
0.19,0.001,,0.0005773502691896257
0.2,0.001,,0.0005773502691896257
0.21,0.0006666666666666666,,0.0004714045207910317
0.22,0.0,,0.0
0.23,0.0006666666666666666,,0.0004714045207910317
0.24,0.0,,0.0
0.25,0.0,,0.0
0.26,0.0,,0.0
0.27,0.0,,0.0
0.28,0.0,,0.0
0.29,0.0,,0.0
0.3,0.0,,0.0
0.31,0.0006666666666666666,,0.0004714045207910317
0.32,0.0003333333333333333,,0.0003333333333333333
0.33,0.0003333333333333333,,0.0003333333333333333
0.34,0.0,,0.0
0.35000000000000003,0.0,,0.0
0.36,0.0,,0.0
0.37,0.0,,0.0
0.38,0.0,,0.0
0.39,0.0006666666666666666,,0.0004714045207910317
0.4,0.0,,0.0
