bin_low_edge,contents,binlabel,error
-1.5,0.0,,0.0
-0.5,1481.0,,38.48376280978771
0.5,977.0,,31.25699921617557
1.5,315.0,,17.74823934929885
2.5,113.0,,10.63014581273465
3.5,42.0,,6.48074069840786
4.5,26.0,,5.0990195135927845
5.5,12.0,,3.4641016151377544
6.5,10.0,,3.1622776601683795
7.5,5.0,,2.23606797749979
8.5,3.0,,1.7320508075688772
9.5,1.0,,1.0
10.5,3.0,,1.7320508075688772
11.5,4.0,,2.0
12.5,1.0,,1.0
13.5,1.0,,1.0
14.5,0.0,,0.0
15.5,2.0,,1.4142135623730951
16.5,1.0,,1.0
17.5,1.0,,1.0
18.5,1.0,,1.0
19.5,1.0,,1.0
20.5,0.0,,0.0
