bin_low_edge,contents,binlabel,error
-0.01,0.0,,0.0
0.0,0.5423333333333333,,0.01344536268673247
0.01,0.06,,0.00447213595499958
0.02,0.24966666666666668,,0.009122621455602673
0.03,0.015666666666666666,,0.002285218200133681
0.04,0.06766666666666667,,0.004749268949591669
0.05,0.004666666666666667,,0.0012472191289246471
0.06,0.02266666666666667,,0.002748737083745107
0.07,0.003,,0.001
0.08,0.0033333333333333335,,0.0010540925533894599
0.09,0.011666666666666667,,0.0019720265943665386
0.1,0.0013333333333333333,,0.0006666666666666666
0.11,0.007333333333333333,,0.0015634719199411433
0.12,0.001,,0.0005773502691896257
0.13,0.0036666666666666666,,0.0011055415967851333
0.14,0.001,,0.0005773502691896257
0.15,0.0,,0.0
0.16,0.002,,0.000816496580927726
0.17,0.0006666666666666666,,0.0004714045207910317
0.18,0.0003333333333333333,,0.0003333333333333333
0.19,0.0003333333333333333,,0.0003333333333333333
0.2,0.0,,0.0
0.21,0.0,,0.0
0.22,0.0003333333333333333,,0.0003333333333333333
0.23,0.0,,0.0
0.24,0.0,,0.0
0.25,0.0003333333333333333,,0.0003333333333333333
0.26,0.0006666666666666666,,0.0004714045207910317
0.27,0.0,,0.0
0.28,0.0003333333333333333,,0.0003333333333333333
0.29,0.0,,0.0
0.3,0.0,,0.0
0.31,0.0,,0.0
0.32,0.0,,0.0
0.33,0.0,,0.0
0.34,0.0,,0.0
0.35000000000000003,0.0,,0.0
0.36,0.0,,0.0
0.37,0.0,,0.0
0.38,0.0,,0.0
0.39,0.0,,0.0
0.4,0.0,,0.0
