bin_low_edge,contents,binlabel,error
-1.5,0.0,,0.0
-0.5,52.0,,7.211102550927978
0.5,234.0,,15.297058540778355
1.5,431.0,,20.760539492026695
2.5,580.0,,24.08318915758459
3.5,551.0,,23.473389188611005
4.5,417.0,,20.42057785666214
5.5,279.0,,16.703293088490067
6.5,116.0,,10.770329614269007
7.5,63.0,,7.937253933193772
8.5,34.0,,5.830951894845301
9.5,14.0,,3.7416573867739413
10.5,8.0,,2.8284271247461903
11.5,4.0,,2.0
12.5,3.0,,1.7320508075688772
13.5,11.0,,3.3166247903554
14.5,6.0,,2.449489742783178
15.5,4.0,,2.0
16.5,8.0,,2.8284271247461903
17.5,11.0,,3.3166247903554
18.5,12.0,,3.4641016151377544
19.5,1.0,,1.0
20.5,7.0,,2.6457513110645907
21.5,5.0,,2.23606797749979
22.5,4.0,,2.0
23.5,8.0,,2.8284271247461903
24.5,13.0,,3.605551275463989
25.5,15.0,,3.872983346207417
26.5,14.0,,3.7416573867739413
27.5,13.0,,3.605551275463989
28.5,13.0,,3.605551275463989
29.5,16.0,,4.0
30.5,7.0,,2.6457513110645907
31.5,5.0,,2.23606797749979
32.5,8.0,,2.8284271247461903
33.5,6.0,,2.449489742783178
34.5,7.0,,2.6457513110645907
35.5,5.0,,2.23606797749979
36.5,3.0,,1.7320508075688772
37.5,3.0,,1.7320508075688772
38.5,1.0,,1.0
39.5,2.0,,1.4142135623730951
40.5,0.0,,0.0
41.5,0.0,,0.0
42.5,0.0,,0.0
43.5,0.0,,0.0
44.5,0.0,,0.0
45.5,0.0,,0.0
46.5,0.0,,0.0
47.5,0.0,,0.0
48.5,0.0,,0.0
49.5,0.0,,0.0
50.5,1.0,,1.0
51.5,0.0,,0.0
52.5,0.0,,0.0
53.5,0.0,,0.0
54.5,5.0,,2.23606797749979
55.5,0.0,,0.0
