bin_low_edge,contents,binlabel,error
-0.01,0.0,,0.0
0.0,0.0673076923076923,,0.02543991645254414
0.01,0.0,,0.0
0.02,0.5865384615384616,,0.07509855457602552
0.03,0.0,,0.0
0.04,0.16346153846153846,,0.039645246400169816
0.05,0.0,,0.0
0.06,0.057692307692307696,,0.02355278598829979
0.07,0.038461538461538464,,0.019230769230769232
0.08,0.028846153846153848,,0.01665433468816228
0.09,0.009615384615384616,,0.009615384615384616
0.1,0.009615384615384616,,0.009615384615384616
0.11,0.019230769230769232,,0.01359820733051053
0.12,0.0,,0.0
0.13,0.0,,0.0
0.14,0.0,,0.0
0.15,0.0,,0.0
0.16,0.019230769230769232,,0.01359820733051053
0.17,0.0,,0.0
0.18,0.0,,0.0
0.19,0.0,,0.0
0.2,0.0,,0.0
0.21,0.0,,0.0
0.22,0.0,,0.0
0.23,0.0,,0.0
0.24,0.0,,0.0
0.25,0.0,,0.0
0.26,0.0,,0.0
0.27,0.0,,0.0
0.28,0.0,,0.0
0.29,0.0,,0.0
0.3,0.0,,0.0
0.31,0.0,,0.0
0.32,0.0,,0.0
0.33,0.0,,0.0
0.34,0.0,,0.0
0.35000000000000003,0.0,,0.0
0.36,0.0,,0.0
0.37,0.0,,0.0
0.38,0.0,,0.0
0.39,0.0,,0.0
0.4,0.0,,0.0
