bin_low_edge,contents,binlabel,error
-0.01,0.0,,0.0
0.0,0.345679012345679,,0.06532719286579236
0.01,0.4567901234567901,,0.07509583370738543
0.02,0.08641975308641975,,0.03266359643289618
0.03,0.012345679012345678,,0.012345679012345678
0.04,0.0,,0.0
0.05,0.012345679012345678,,0.012345679012345678
0.06,0.012345679012345678,,0.012345679012345678
0.07,0.037037037037037035,,0.021383343303319473
0.08,0.024691358024691357,,0.017459426695964137
0.09,0.0,,0.0
0.1,0.0,,0.0
0.11,0.0,,0.0
0.12,0.012345679012345678,,0.012345679012345678
0.13,0.0,,0.0
0.14,0.0,,0.0
0.15,0.0,,0.0
0.16,0.0,,0.0
0.17,0.0,,0.0
0.18,0.0,,0.0
0.19,0.0,,0.0
0.2,0.0,,0.0
0.21,0.0,,0.0
0.22,0.0,,0.0
0.23,0.0,,0.0
0.24,0.0,,0.0
0.25,0.0,,0.0
0.26,0.0,,0.0
0.27,0.0,,0.0
0.28,0.0,,0.0
0.29,0.0,,0.0
0.3,0.0,,0.0
0.31,0.0,,0.0
0.32,0.0,,0.0
0.33,0.0,,0.0
0.34,0.0,,0.0
0.35000000000000003,0.0,,0.0
0.36,0.0,,0.0
0.37,0.0,,0.0
0.38,0.0,,0.0
0.39,0.0,,0.0
0.4,0.0,,0.0
