bin_low_edge,contents,binlabel,error
-0.01,0.0,,0.0
0.0,0.006211180124223602,,0.006211180124223602
0.01,0.031055900621118012,,0.013888620978259564
0.02,0.006211180124223602,,0.006211180124223602
0.03,0.024844720496894408,,0.012422360248447204
0.04,0.024844720496894408,,0.012422360248447204
0.05,0.06832298136645963,,0.020600153977362732
0.06,0.06832298136645963,,0.020600153977362732
0.07,0.037267080745341616,,0.015214222004864459
0.08,0.14285714285714285,,0.029787773436724962
0.09,0.22981366459627328,,0.037781133728560366
0.1,0.16770186335403728,,0.03227423865035175
0.11,0.08074534161490683,,0.02239472841903099
0.12,0.07453416149068323,,0.021516159100234498
0.13,0.031055900621118012,,0.013888620978259564
0.14,0.0,,0.0
0.15,0.0,,0.0
0.16,0.0,,0.0
0.17,0.006211180124223602,,0.006211180124223602
0.18,0.0,,0.0
0.19,0.0,,0.0
0.2,0.0,,0.0
0.21,0.0,,0.0
0.22,0.0,,0.0
0.23,0.0,,0.0
0.24,0.0,,0.0
0.25,0.0,,0.0
0.26,0.0,,0.0
0.27,0.0,,0.0
0.28,0.0,,0.0
0.29,0.0,,0.0
0.3,0.0,,0.0
0.31,0.0,,0.0
0.32,0.0,,0.0
0.33,0.0,,0.0
0.34,0.0,,0.0
0.35000000000000003,0.0,,0.0
0.36,0.0,,0.0
0.37,0.0,,0.0
0.38,0.0,,0.0
0.39,0.0,,0.0
0.4,0.0,,0.0
