bin_low_edge,contents,binlabel,error
-0.5,0.0,,0.0
0.5,0.0273972602739726,IGHD1-20*01,0.019372788525658838
1.5,0.0958904109589041,IGHD1-26*01,0.03624316864472042
2.5,0.0410958904109589,IGHD1-7*01,0.02372672339135448
3.5,0.0547945205479452,IGHD2-15*01,0.0273972602739726
4.5,0.0410958904109589,IGHD2-2*01,0.02372672339135448
5.5,0.0136986301369863,IGHD2-21*01,0.0136986301369863
6.5,0.0821917808219178,IGHD2-21*02,0.03355465401072846
7.5,0.0821917808219178,IGHD2-8*02,0.03355465401072846
8.5,0.1643835616438356,IGHD3-10*01,0.04745344678270896
9.5,0.0684931506849315,IGHD3-10*02,0.03063106818492863
10.5,0.1095890410958904,IGHD3-16*01,0.038745577051317676
11.5,0.0410958904109589,IGHD3-16*02,0.02372672339135448
12.5,0.0684931506849315,IGHD3-3*01,0.03063106818492863
13.5,0.0821917808219178,IGHD4-17*01,0.03355465401072846
14.5,0.0273972602739726,IGHD6-13*01,0.019372788525658838
15.5,0.0,,0.0
