bin_low_edge,contents,binlabel,error
-0.5,0.0,,0.0
0.5,0.0027226327779585812,*,8.48753115276401e-05
1.5,0.05374619982378295,A,0.00037710364325476705
2.5,0.017746062236898157,C,0.00021668948984795156
3.5,0.04051933757206774,D,0.00032742965863765127
4.5,0.022805026154737618,E,0.0002456417226170535
5.5,0.024974665491886344,F,0.00025706129259458576
6.5,0.10676742260076255,G,0.0005315036195189102
7.5,0.007987977022990238,H,0.00014538019614403392
8.5,0.04614717034050108,I,0.0003494293537393503
9.5,0.03866720643059932,K,0.0003198587571853307
10.5,0.08158373088005334,L,0.000464610080144209
11.5,0.014126468806142725,M,0.00019333196023878273
12.5,0.027117845812728376,N,0.0002678640559241446
13.5,0.02873184580743657,P,0.00027572021629548984
14.5,0.04810778344882694,Q,0.000356775086959741
15.5,0.04264135067986442,R,0.00033589405963456605
16.5,0.15628017981547482,S,0.0006430411982253055
17.5,0.06394085880675128,T,0.0004113164506595508
18.5,0.07301100959668522,V,0.00043952241051927284
19.5,0.036410252339638516,W,0.0003103835466620705
20.5,0.007868911449610126,X,0.000144292638884022
21.5,0.05809606210460307,Y,0.00039206691451591135
22.5,0.0,,0.0
