bin_low_edge,contents,binlabel,error
-0.5,0.0,,0.0
0.5,0.0410958904109589,IGHV1-18*04,0.02372672339135448
1.5,0.0547945205479452,IGHV1-58*02,0.0273972602739726
2.5,0.0273972602739726,IGHV1-69*04,0.019372788525658838
3.5,0.0410958904109589,IGHV1-8*01,0.02372672339135448
4.5,0.0547945205479452,IGHV2-5*01,0.0273972602739726
5.5,0.0273972602739726,IGHV3-13*05,0.019372788525658838
6.5,0.0410958904109589,IGHV3-15*02,0.02372672339135448
7.5,0.0547945205479452,IGHV3-21*03,0.0273972602739726
8.5,0.0136986301369863,IGHV3-23*02,0.0136986301369863
9.5,0.0821917808219178,IGHV3-30-3*02,0.03355465401072846
10.5,0.0410958904109589,IGHV3-33*01,0.02372672339135448
11.5,0.0273972602739726,IGHV3-64*02,0.019372788525658838
12.5,0.136986301369863,IGHV3-66*02,0.04331887205710109
13.5,0.1232876712328767,IGHV3-9*02,0.0410958904109589
14.5,0.0547945205479452,IGHV4-30-2*06,0.0273972602739726
15.5,0.0273972602739726,IGHV4-34*04,0.019372788525658838
16.5,0.0136986301369863,IGHV4-39*06,0.0136986301369863
17.5,0.0273972602739726,IGHV4-4*i02,0.019372788525658838
18.5,0.0136986301369863,IGHV4-59*04,0.0136986301369863
19.5,0.0410958904109589,IGHV5-10-1*01,0.02372672339135448
20.5,0.0547945205479452,IGHV7-4-1*05,0.0273972602739726
21.5,0.0,,0.0
