bin_low_edge,contents,binlabel,error
-0.01,0.0,,0.0
0.0,0.2916666666666667,,0.009860132971832693
0.01,0.539,,0.013403979508588734
0.02,0.08833333333333333,,0.005426273532033236
0.03,0.007,,0.0015275252316519466
0.04,0.004,,0.0011547005383792514
0.05,0.007,,0.0015275252316519466
0.06,0.007,,0.0015275252316519466
0.07,0.006333333333333333,,0.001452966314513558
0.08,0.010333333333333333,,0.0018559214542766737
0.09,0.01,,0.0018257418583505537
0.1,0.014,,0.0021602468994692866
0.11,0.006666666666666667,,0.00149071198499986
0.12,0.0036666666666666666,,0.0011055415967851333
0.13,0.0023333333333333335,,0.0008819171036881969
0.14,0.0003333333333333333,,0.0003333333333333333
0.15,0.0,,0.0
0.16,0.001,,0.0005773502691896257
0.17,0.0003333333333333333,,0.0003333333333333333
0.18,0.0,,0.0
0.19,0.0003333333333333333,,0.0003333333333333333
0.2,0.0,,0.0
0.21,0.0,,0.0
0.22,0.0,,0.0
0.23,0.0,,0.0
0.24,0.0,,0.0
0.25,0.0,,0.0
0.26,0.0,,0.0
0.27,0.0,,0.0
0.28,0.0,,0.0
0.29,0.0,,0.0
0.3,0.0,,0.0
0.31,0.0,,0.0
0.32,0.0,,0.0
0.33,0.0,,0.0
0.34,0.0,,0.0
0.35000000000000003,0.0,,0.0
0.36,0.0,,0.0
0.37,0.0,,0.0
0.38,0.0,,0.0
0.39,0.0006666666666666666,,0.0004714045207910317
0.4,0.0,,0.0
