bin_low_edge,contents,binlabel,error
-1.5,0.0,,0.0
-0.5,17.0,,4.123105625617661
0.5,130.0,,11.40175425099138
1.5,312.0,,17.663521732655695
2.5,416.0,,20.396078054371138
3.5,554.0,,23.53720459187964
4.5,464.0,,21.540659228538015
5.5,373.0,,19.313207915827967
6.5,226.0,,15.033296378372908
7.5,149.0,,12.206555615733702
8.5,72.0,,8.48528137423857
9.5,34.0,,5.830951894845301
10.5,13.0,,3.605551275463989
11.5,7.0,,2.6457513110645907
12.5,5.0,,2.23606797749979
13.5,6.0,,2.449489742783178
14.5,4.0,,2.0
15.5,4.0,,2.0
16.5,3.0,,1.7320508075688772
17.5,4.0,,2.0
18.5,3.0,,1.7320508075688772
19.5,6.0,,2.449489742783178
20.5,7.0,,2.6457513110645907
21.5,8.0,,2.8284271247461903
22.5,8.0,,2.8284271247461903
23.5,4.0,,2.0
24.5,3.0,,1.7320508075688772
25.5,5.0,,2.23606797749979
26.5,8.0,,2.8284271247461903
27.5,4.0,,2.0
28.5,7.0,,2.6457513110645907
29.5,10.0,,3.1622776601683795
30.5,12.0,,3.4641016151377544
31.5,11.0,,3.3166247903554
32.5,8.0,,2.8284271247461903
33.5,7.0,,2.6457513110645907
34.5,8.0,,2.8284271247461903
35.5,13.0,,3.605551275463989
36.5,12.0,,3.4641016151377544
37.5,10.0,,3.1622776601683795
38.5,7.0,,2.6457513110645907
39.5,8.0,,2.8284271247461903
40.5,5.0,,2.23606797749979
41.5,6.0,,2.449489742783178
42.5,6.0,,2.449489742783178
43.5,3.0,,1.7320508075688772
44.5,1.0,,1.0
45.5,2.0,,1.4142135623730951
46.5,0.0,,0.0
47.5,1.0,,1.0
48.5,4.0,,2.0
49.5,1.0,,1.0
50.5,1.0,,1.0
51.5,0.0,,0.0
52.5,1.0,,1.0
53.5,0.0,,0.0
54.5,0.0,,0.0
55.5,0.0,,0.0
56.5,0.0,,0.0
57.5,0.0,,0.0
58.5,0.0,,0.0
59.5,0.0,,0.0
60.5,0.0,,0.0
61.5,0.0,,0.0
62.5,3.0,,1.7320508075688772
63.5,0.0,,0.0
64.5,0.0,,0.0
65.5,1.0,,1.0
66.5,0.0,,0.0
67.5,0.0,,0.0
68.5,0.0,,0.0
69.5,0.0,,0.0
70.5,0.0,,0.0
71.5,0.0,,0.0
72.5,0.0,,0.0
73.5,1.0,,1.0
74.5,0.0,,0.0
75.5,0.0,,0.0
76.5,0.0,,0.0
77.5,0.0,,0.0
78.5,0.0,,0.0
79.5,0.0,,0.0
80.5,0.0,,0.0
81.5,0.0,,0.0
82.5,0.0,,0.0
83.5,0.0,,0.0
84.5,0.0,,0.0
85.5,0.0,,0.0
86.5,0.0,,0.0
87.5,0.0,,0.0
88.5,0.0,,0.0
89.5,2.0,,1.4142135623730951
90.5,0.0,,0.0
