bin_low_edge,contents,binlabel,error
-0.5,0.0,,0.0
0.5,0.001,IGHD1-1*01,0.0005773502691896257
1.5,0.002,IGHD1-20*01,0.000816496580927726
2.5,0.008666666666666666,IGHD1-26*01,0.0016996731711975948
3.5,0.026333333333333334,IGHD1-7*01,0.0029627314724385294
4.5,0.004333333333333333,IGHD2-15*01,0.001201850425154663
5.5,0.005,IGHD2-2*01,0.0012909944487358056
6.5,0.04066666666666666,IGHD2-21*01,0.003681787005729087
7.5,0.026333333333333334,IGHD2-21*02,0.0029627314724385294
8.5,0.208,IGHD2-8*02,0.00832666399786453
9.5,0.051666666666666666,IGHD3-10*01,0.004149966532662911
10.5,0.006,IGHD3-10*02,0.001414213562373095
11.5,0.536,IGHD3-16*01,0.013366625103842282
12.5,0.05366666666666667,IGHD3-16*02,0.004229525846816507
13.5,0.025666666666666667,IGHD3-3*01,0.0029249881291307073
14.5,0.0033333333333333335,IGHD4-17*01,0.0010540925533894599
15.5,0.0013333333333333333,IGHD6-13*01,0.0006666666666666666
16.5,0.0,,0.0
