bin_low_edge,contents,binlabel,error
-0.5,0.0,,0.0
0.5,0.0016666666666666668,IGHV1-18*04,0.00074535599249993
1.5,0.043666666666666666,IGHV1-58*02,0.003815174380753199
2.5,0.002,IGHV1-69*04,0.000816496580927726
3.5,0.0026666666666666666,IGHV1-8*01,0.0009428090415820634
4.5,0.010666666666666666,IGHV2-5*01,0.0018856180831641268
5.5,0.0006666666666666666,IGHV3-13*05,0.0004714045207910317
6.5,0.0013333333333333333,IGHV3-15*02,0.0006666666666666666
7.5,0.006666666666666667,IGHV3-21*03,0.00149071198499986
8.5,0.001,IGHV3-23*02,0.0005773502691896257
9.5,0.027,IGHV3-30-3*02,0.003
10.5,0.006,IGHV3-33*01,0.001414213562373095
11.5,0.0013333333333333333,IGHV3-64*02,0.0006666666666666666
12.5,0.05366666666666667,IGHV3-66*02,0.004229525846816507
13.5,0.225,IGHV3-9*02,0.008660254037844387
14.5,0.578,IGHV4-30-2*06,0.013880441875771341
15.5,0.004666666666666667,IGHV4-34*04,0.0012472191289246471
16.5,0.0006666666666666666,IGHV4-39*06,0.0004714045207910317
17.5,0.0013333333333333333,IGHV4-4*i02,0.0006666666666666666
18.5,0.0006666666666666666,IGHV4-59*04,0.0004714045207910317
19.5,0.026333333333333334,IGHV5-10-1*01,0.0029627314724385294
20.5,0.005,IGHV7-4-1*05,0.0012909944487358056
21.5,0.0,,0.0
