bin_low_edge,contents,binlabel,error
-1.5,0.0,,0.0
-0.5,19.0,,4.358898943540674
0.5,584.0,,24.166091947189145
1.5,3.0,,1.7320508075688772
2.5,12.0,,3.4641016151377544
3.5,3.0,,1.7320508075688772
4.5,32.0,,5.656854249492381
5.5,2.0,,1.4142135623730951
6.5,7.0,,2.6457513110645907
7.5,33.0,,5.744562646538029
8.5,0.0,,0.0
9.5,44.0,,6.6332495807108
10.5,3.0,,1.7320508075688772
11.5,3.0,,1.7320508075688772
12.5,1.0,,1.0
13.5,0.0,,0.0
14.5,3.0,,1.7320508075688772
15.5,0.0,,0.0
16.5,1.0,,1.0
17.5,0.0,,0.0
