bin_low_edge,contents,binlabel,error
-0.01,0.0,,0.0
0.0,0.05555555555555555,,0.016750630254320203
0.01,0.0,,0.0
0.02,0.005050505050505051,,0.005050505050505051
0.03,0.015151515151515152,,0.008747731351357965
0.04,0.020202020202020204,,0.010101010101010102
0.05,0.7575757575757576,,0.06185580158543379
0.06,0.005050505050505051,,0.005050505050505051
0.07,0.0,,0.0
0.08,0.005050505050505051,,0.005050505050505051
0.09,0.010101010101010102,,0.007142492739258056
0.1,0.10606060606060606,,0.02314432169169616
0.11,0.005050505050505051,,0.005050505050505051
0.12,0.0,,0.0
0.13,0.0,,0.0
0.14,0.0,,0.0
0.15,0.005050505050505051,,0.005050505050505051
0.16,0.005050505050505051,,0.005050505050505051
0.17,0.005050505050505051,,0.005050505050505051
0.18,0.0,,0.0
0.19,0.0,,0.0
0.2,0.0,,0.0
0.21,0.0,,0.0
0.22,0.0,,0.0
0.23,0.0,,0.0
0.24,0.0,,0.0
0.25,0.0,,0.0
0.26,0.0,,0.0
0.27,0.0,,0.0
0.28,0.0,,0.0
0.29,0.0,,0.0
0.3,0.0,,0.0
0.31,0.0,,0.0
0.32,0.0,,0.0
0.33,0.0,,0.0
0.34,0.0,,0.0
0.35000000000000003,0.0,,0.0
0.36,0.0,,0.0
0.37,0.0,,0.0
0.38,0.0,,0.0
0.39,0.0,,0.0
0.4,0.0,,0.0
