bin_low_edge,contents,binlabel,error
-0.5,0.0,,0.0
0.5,0.0033333333333333335,IGHD1-1*01,0.0010540925533894599
1.5,0.0016666666666666668,IGHD1-20*01,0.00074535599249993
2.5,0.008333333333333333,IGHD1-26*01,0.0016666666666666668
3.5,0.026,IGHD1-7*01,0.0029439202887759494
4.5,0.0023333333333333335,IGHD2-15*01,0.0008819171036881969
5.5,0.004333333333333333,IGHD2-2*01,0.001201850425154663
6.5,0.0003333333333333333,IGHD2-2*02,0.0003333333333333333
7.5,0.0006666666666666666,IGHD2-2*03,0.0004714045207910317
8.5,0.031,IGHD2-21*01,0.0032145502536643183
9.5,0.035333333333333335,IGHD2-21*02,0.0034318767136623336
10.5,0.0003333333333333333,IGHD2-8*01,0.0003333333333333333
11.5,0.20733333333333334,IGHD2-8*02,0.008313309275559951
12.5,0.050333333333333334,IGHD3-10*01,0.0040960685758148355
13.5,0.006666666666666667,IGHD3-10*02,0.00149071198499986
14.5,0.5236666666666666,IGHD3-16*01,0.013211947455070944
15.5,0.066,IGHD3-16*02,0.00469041575982343
16.5,0.001,IGHD3-22*01,0.0005773502691896257
17.5,0.024666666666666667,IGHD3-3*01,0.0028674417556808756
18.5,0.0006666666666666666,IGHD3-3*02,0.0004714045207910317
19.5,0.0003333333333333333,IGHD3-9*01,0.0003333333333333333
20.5,0.004,IGHD4-17*01,0.0011547005383792514
21.5,0.0003333333333333333,IGHD5-12*01,0.0003333333333333333
22.5,0.0013333333333333333,IGHD6-13*01,0.0006666666666666666
23.5,0.0,,0.0
