bin_low_edge,contents,binlabel,error
-0.5,0.0,,0.0
0.5,0.008666666666666666,IGHJ1*01,0.0016996731711975948
1.5,0.25,IGHJ2*01,0.009128709291752768
2.5,0.06433333333333334,IGHJ3*01,0.004630814663149935
3.5,0.004666666666666667,IGHJ3*02,0.0012472191289246471
4.5,0.03133333333333333,IGHJ4*01,0.003231786571610886
5.5,0.0036666666666666666,IGHJ4*02,0.0011055415967851333
6.5,0.5836666666666667,IGHJ5*01,0.013948317301938452
7.5,0.053,IGHJ6*02,0.004203173404306164
8.5,0.0006666666666666666,IGHJ6*03,0.0004714045207910317
9.5,0.0,,0.0
