bin_low_edge,contents,binlabel,error
-0.5,0.0,,0.0
0.5,0.0026944831912421355,*,8.445037642588618e-05
1.5,0.053762615501483556,A,0.000377228107352019
2.5,0.017744415829162353,C,0.00021671785998172326
3.5,0.040549589872131156,D,0.0003276099499327078
4.5,0.02281576140324873,E,0.00024574310063413333
5.5,0.02499411078084429,F,0.00025720694766728026
6.5,0.1068185247042818,G,0.0005317250712574154
7.5,0.007988163331207039,H,0.00014540767101705224
8.5,0.046171478180773884,I,0.00034958334991700156
9.5,0.03868621446286351,K,0.0003199940977521957
10.5,0.08161001987776892,L,0.00046476732966565447
11.5,0.014139419653846255,M,0.00019345485909146268
12.5,0.027140698077600056,N,0.000268024415304068
13.5,0.028704980558959686,P,0.00027564015083351295
14.5,0.04812219931235095,Q,0.00035689181189208093
15.5,0.042635299847277326,R,0.00033592978437686994
16.5,0.15633031505337353,S,0.000643258378908701
17.5,0.06396353713119592,T,0.00041146233496719935
18.5,0.07304749225137569,V,0.00043971016533925374
19.5,0.03642845988316848,W,0.00031051619491826604
20.5,0.00751437895868018,X,0.00014102963989483808
21.5,0.058137842137164546,Y,0.00039227741478571176
22.5,0.0,,0.0
