bin_low_edge,contents,binlabel,error
-0.01,0.0,,0.0
0.0,0.08966666666666667,,0.005467073155618909
0.01,0.19933333333333333,,0.008151346173758322
0.02,0.14133333333333334,,0.006863753427324667
0.03,0.10666666666666667,,0.00596284793999944
0.04,0.10466666666666667,,0.00590668171555645
0.05,0.075,,0.005
0.06,0.07333333333333333,,0.004944132324730442
0.07,0.05466666666666667,,0.004268749491621899
0.08,0.03666666666666667,,0.003496029493900505
0.09,0.019666666666666666,,0.0025603819159562024
0.1,0.026,,0.0029439202887759494
0.11,0.017333333333333333,,0.002403700850309326
0.12,0.017666666666666667,,0.0024267032964268393
0.13,0.014,,0.0021602468994692866
0.14,0.005333333333333333,,0.0013333333333333333
0.15,0.002,,0.000816496580927726
0.16,0.0026666666666666666,,0.0009428090415820634
0.17,0.002,,0.000816496580927726
0.18,0.0006666666666666666,,0.0004714045207910317
0.19,0.0013333333333333333,,0.0006666666666666666
0.2,0.0013333333333333333,,0.0006666666666666666
0.21,0.003,,0.001
0.22,0.004333333333333333,,0.001201850425154663
0.23,0.001,,0.0005773502691896257
0.24,0.0003333333333333333,,0.0003333333333333333
0.25,0.0,,0.0
0.26,0.0,,0.0
0.27,0.0,,0.0
0.28,0.0,,0.0
0.29,0.0,,0.0
0.3,0.0,,0.0
0.31,0.0,,0.0
0.32,0.0,,0.0
0.33,0.0,,0.0
0.34,0.0,,0.0
0.35000000000000003,0.0,,0.0
0.36,0.0,,0.0
0.37,0.0,,0.0
0.38,0.0,,0.0
0.39,0.0,,0.0
0.4,0.0,,0.0
