bin_low_edge,contents,binlabel,error
-1.5,0.0,,0.0
-0.5,7.0,,2.6457513110645907
0.5,37.0,,6.082762530298219
1.5,90.0,,9.486832980505138
2.5,135.0,,11.61895003862225
3.5,161.0,,12.68857754044952
4.5,148.0,,12.165525060596439
5.5,179.0,,13.379088160259652
6.5,112.0,,10.583005244258363
7.5,103.0,,10.14889156509222
8.5,127.0,,11.269427669584644
9.5,114.0,,10.677078252031311
10.5,99.0,,9.9498743710662
11.5,97.0,,9.848857801796104
12.5,95.0,,9.746794344808963
13.5,82.0,,9.055385138137417
14.5,96.0,,9.797958971132712
15.5,83.0,,9.1104335791443
16.5,78.0,,8.831760866327848
17.5,74.0,,8.602325267042627
18.5,63.0,,7.937253933193772
19.5,62.0,,7.874007874011811
20.5,51.0,,7.14142842854285
21.5,57.0,,7.54983443527075
22.5,53.0,,7.280109889280518
23.5,59.0,,7.681145747868608
24.5,57.0,,7.54983443527075
25.5,56.0,,7.483314773547883
26.5,44.0,,6.6332495807108
27.5,52.0,,7.211102550927978
28.5,38.0,,6.164414002968976
29.5,36.0,,6.0
30.5,32.0,,5.656854249492381
31.5,35.0,,5.916079783099616
32.5,22.0,,4.69041575982343
33.5,19.0,,4.358898943540674
34.5,16.0,,4.0
35.5,18.0,,4.242640687119285
36.5,25.0,,5.0
37.5,24.0,,4.898979485566356
38.5,19.0,,4.358898943540674
39.5,21.0,,4.58257569495584
40.5,22.0,,4.69041575982343
41.5,17.0,,4.123105625617661
42.5,10.0,,3.1622776601683795
43.5,15.0,,3.872983346207417
44.5,15.0,,3.872983346207417
45.5,13.0,,3.605551275463989
46.5,10.0,,3.1622776601683795
47.5,18.0,,4.242640687119285
48.5,13.0,,3.605551275463989
49.5,5.0,,2.23606797749979
50.5,6.0,,2.449489742783178
51.5,8.0,,2.8284271247461903
52.5,2.0,,1.4142135623730951
53.5,3.0,,1.7320508075688772
54.5,7.0,,2.6457513110645907
55.5,5.0,,2.23606797749979
56.5,1.0,,1.0
57.5,4.0,,2.0
58.5,3.0,,1.7320508075688772
59.5,0.0,,0.0
60.5,0.0,,0.0
61.5,2.0,,1.4142135623730951
62.5,1.0,,1.0
63.5,1.0,,1.0
64.5,1.0,,1.0
65.5,2.0,,1.4142135623730951
66.5,2.0,,1.4142135623730951
67.5,4.0,,2.0
68.5,1.0,,1.0
69.5,2.0,,1.4142135623730951
70.5,1.0,,1.0
71.5,1.0,,1.0
72.5,2.0,,1.4142135623730951
73.5,2.0,,1.4142135623730951
74.5,3.0,,1.7320508075688772
75.5,3.0,,1.7320508075688772
76.5,2.0,,1.4142135623730951
77.5,1.0,,1.0
78.5,4.0,,2.0
79.5,8.0,,2.8284271247461903
80.5,2.0,,1.4142135623730951
81.5,0.0,,0.0
82.5,0.0,,0.0
83.5,1.0,,1.0
84.5,1.0,,1.0
85.5,0.0,,0.0
86.5,0.0,,0.0
87.5,0.0,,0.0
88.5,0.0,,0.0
89.5,0.0,,0.0
90.5,0.0,,0.0
