bin_low_edge,contents,binlabel,error
-1.5,0.0,,0.0
-0.5,1036.0,,32.18695387886216
0.5,730.0,,27.018512172212592
1.5,445.0,,21.095023109728988
2.5,299.0,,17.291616465790582
3.5,194.0,,13.92838827718412
4.5,120.0,,10.954451150103322
5.5,77.0,,8.774964387392123
6.5,35.0,,5.916079783099616
7.5,35.0,,5.916079783099616
8.5,25.0,,5.0
9.5,2.0,,1.4142135623730951
10.5,1.0,,1.0
11.5,1.0,,1.0
12.5,0.0,,0.0
13.5,0.0,,0.0
14.5,0.0,,0.0
15.5,0.0,,0.0
16.5,0.0,,0.0
17.5,0.0,,0.0
18.5,0.0,,0.0
19.5,0.0,,0.0
20.5,0.0,,0.0
