bin_low_edge,contents,binlabel,error
-1.5,0.0,,0.0
-0.5,10.0,,3.1622776601683795
0.5,77.0,,8.774964387392123
1.5,111.0,,10.535653752852738
2.5,174.0,,13.19090595827292
3.5,202.0,,14.212670403551895
4.5,198.0,,14.071247279470288
5.5,139.0,,11.789826122551595
6.5,142.0,,11.916375287812984
7.5,122.0,,11.045361017187261
8.5,130.0,,11.40175425099138
9.5,104.0,,10.198039027185569
10.5,123.0,,11.090536506409418
11.5,93.0,,9.643650760992955
12.5,86.0,,9.273618495495704
13.5,92.0,,9.591663046625438
14.5,86.0,,9.273618495495704
15.5,99.0,,9.9498743710662
16.5,74.0,,8.602325267042627
17.5,69.0,,8.306623862918075
18.5,59.0,,7.681145747868608
19.5,73.0,,8.54400374531753
20.5,73.0,,8.54400374531753
21.5,57.0,,7.54983443527075
22.5,55.0,,7.416198487095663
23.5,49.0,,7.0
24.5,54.0,,7.3484692283495345
25.5,29.0,,5.385164807134504
26.5,46.0,,6.782329983125268
27.5,28.0,,5.291502622129181
28.5,22.0,,4.69041575982343
29.5,18.0,,4.242640687119285
30.5,29.0,,5.385164807134504
31.5,23.0,,4.795831523312719
32.5,22.0,,4.69041575982343
33.5,20.0,,4.47213595499958
34.5,19.0,,4.358898943540674
35.5,15.0,,3.872983346207417
36.5,23.0,,4.795831523312719
37.5,14.0,,3.7416573867739413
38.5,15.0,,3.872983346207417
39.5,14.0,,3.7416573867739413
40.5,13.0,,3.605551275463989
41.5,9.0,,3.0
42.5,9.0,,3.0
43.5,8.0,,2.8284271247461903
44.5,3.0,,1.7320508075688772
45.5,5.0,,2.23606797749979
46.5,5.0,,2.23606797749979
47.5,7.0,,2.6457513110645907
48.5,2.0,,1.4142135623730951
49.5,2.0,,1.4142135623730951
50.5,3.0,,1.7320508075688772
51.5,3.0,,1.7320508075688772
52.5,4.0,,2.0
53.5,2.0,,1.4142135623730951
54.5,37.0,,6.082762530298219
55.5,0.0,,0.0
