bin_low_edge,contents,binlabel,error
-0.01,0.0,,0.0
0.0,0.6320754716981132,,0.07722030916860802
0.01,0.0,,0.0
0.02,0.0,,0.0
0.03,0.0,,0.0
0.04,0.0,,0.0
0.05,0.10377358490566038,,0.031288913116560374
0.06,0.05660377358490566,,0.023108393799841302
0.07,0.07547169811320754,,0.026683274761756512
0.08,0.0,,0.0
0.09,0.018867924528301886,,0.013341637380878256
0.1,0.0,,0.0
0.11,0.0660377358490566,,0.024959918028911232
0.12,0.0,,0.0
0.13,0.0,,0.0
0.14,0.009433962264150943,,0.009433962264150943
0.15,0.0,,0.0
0.16,0.018867924528301886,,0.013341637380878256
0.17,0.0,,0.0
0.18,0.018867924528301886,,0.013341637380878256
0.19,0.0,,0.0
0.2,0.0,,0.0
0.21,0.0,,0.0
0.22,0.0,,0.0
0.23,0.0,,0.0
0.24,0.0,,0.0
0.25,0.0,,0.0
0.26,0.0,,0.0
0.27,0.0,,0.0
0.28,0.0,,0.0
0.29,0.0,,0.0
0.3,0.0,,0.0
0.31,0.0,,0.0
0.32,0.0,,0.0
0.33,0.0,,0.0
0.34,0.0,,0.0
0.35000000000000003,0.0,,0.0
0.36,0.0,,0.0
0.37,0.0,,0.0
0.38,0.0,,0.0
0.39,0.0,,0.0
0.4,0.0,,0.0
