bin_low_edge,contents,binlabel,error
-0.01,0.0,,0.0
0.0,0.0851063829787234,,0.030089650263257342
0.01,0.0,,0.0
0.02,0.6382978723404256,,0.08240390098313653
0.03,0.0,,0.0
0.04,0.18085106382978725,,0.0438628258044432
0.05,0.0,,0.0
0.06,0.06382978723404255,,0.026058401518969977
0.07,0.0,,0.0
0.08,0.010638297872340425,,0.010638297872340425
0.09,0.0,,0.0
0.1,0.010638297872340425,,0.010638297872340425
0.11,0.0,,0.0
0.12,0.0,,0.0
0.13,0.0,,0.0
0.14,0.0,,0.0
0.15,0.0,,0.0
0.16,0.010638297872340425,,0.010638297872340425
0.17,0.0,,0.0
0.18,0.0,,0.0
0.19,0.0,,0.0
0.2,0.0,,0.0
0.21,0.0,,0.0
0.22,0.0,,0.0
0.23,0.0,,0.0
0.24,0.0,,0.0
0.25,0.0,,0.0
0.26,0.0,,0.0
0.27,0.0,,0.0
0.28,0.0,,0.0
0.29,0.0,,0.0
0.3,0.0,,0.0
0.31,0.0,,0.0
0.32,0.0,,0.0
0.33,0.0,,0.0
0.34,0.0,,0.0
0.35000000000000003,0.0,,0.0
0.36,0.0,,0.0
0.37,0.0,,0.0
0.38,0.0,,0.0
0.39,0.0,,0.0
0.4,0.0,,0.0
