bin_low_edge,contents,binlabel,error
-0.01,0.0,,0.0
0.0,0.12658227848101267,,0.040028831141371894
0.01,0.5189873417721519,,0.08105220553712467
0.02,0.24050632911392406,,0.05517593599418575
0.03,0.0379746835443038,,0.021924693766694647
0.04,0.02531645569620253,,0.01790143749839361
0.05,0.012658227848101266,,0.012658227848101266
0.06,0.02531645569620253,,0.01790143749839361
0.07,0.012658227848101266,,0.012658227848101266
0.08,0.0,,0.0
0.09,0.0,,0.0
0.1,0.0,,0.0
0.11,0.0,,0.0
0.12,0.0,,0.0
0.13,0.0,,0.0
0.14,0.0,,0.0
0.15,0.0,,0.0
0.16,0.0,,0.0
0.17,0.0,,0.0
0.18,0.0,,0.0
0.19,0.0,,0.0
0.2,0.0,,0.0
0.21,0.0,,0.0
0.22,0.0,,0.0
0.23,0.0,,0.0
0.24,0.0,,0.0
0.25,0.0,,0.0
0.26,0.0,,0.0
0.27,0.0,,0.0
0.28,0.0,,0.0
0.29,0.0,,0.0
0.3,0.0,,0.0
0.31,0.0,,0.0
0.32,0.0,,0.0
0.33,0.0,,0.0
0.34,0.0,,0.0
0.35000000000000003,0.0,,0.0
0.36,0.0,,0.0
0.37,0.0,,0.0
0.38,0.0,,0.0
0.39,0.0,,0.0
0.4,0.0,,0.0
