bin_low_edge,contents,binlabel,error
-1.5,0.0,,0.0
-0.5,1083.0,,32.90896534380867
0.5,493.0,,22.20360331117452
1.5,543.0,,23.302360395462088
2.5,260.0,,16.1245154965971
3.5,312.0,,17.663521732655695
4.5,79.0,,8.888194417315589
5.5,116.0,,10.770329614269007
6.5,60.0,,7.745966692414834
7.5,30.0,,5.477225575051661
8.5,7.0,,2.6457513110645907
9.5,0.0,,0.0
10.5,0.0,,0.0
11.5,0.0,,0.0
12.5,10.0,,3.1622776601683795
13.5,0.0,,0.0
14.5,0.0,,0.0
15.5,0.0,,0.0
16.5,0.0,,0.0
17.5,1.0,,1.0
18.5,0.0,,0.0
19.5,6.0,,2.449489742783178
20.5,0.0,,0.0
