bin_low_edge,contents,binlabel,error
-0.5,0.0,,0.0
0.5,197.0,IGHD1-1*01,14.035668847618199
1.5,12.0,IGHD1-20*01,3.4641016151377544
2.5,258.0,IGHD1-26*01,16.06237840420901
3.5,21.0,IGHD1-7*01,4.58257569495584
4.5,162.0,IGHD2-15*01,12.727922061357855
5.5,167.0,IGHD2-2*01,12.922847983320086
6.5,258.0,IGHD2-2*02,16.06237840420901
7.5,110.0,IGHD2-2*03,10.488088481701515
8.5,124.0,IGHD2-21*01,11.135528725660043
9.5,93.0,IGHD2-21*02,9.643650760992955
10.5,166.0,IGHD2-8*01,12.884098726725126
11.5,46.0,IGHD2-8*02,6.782329983125268
12.5,52.0,IGHD3-10*01,7.211102550927978
13.5,153.0,IGHD3-10*02,12.36931687685298
14.5,137.0,IGHD3-16*01,11.704699910719626
15.5,30.0,IGHD3-16*02,5.477225575051661
16.5,29.0,IGHD3-22*01,5.385164807134504
17.5,49.0,IGHD3-3*01,7.0
18.5,85.0,IGHD3-3*02,9.219544457292887
19.5,40.0,IGHD3-9*01,6.324555320336759
20.5,121.0,IGHD4-17*01,11.0
21.5,178.0,IGHD5-12*01,13.341664064126334
22.5,100.0,IGHD5-18*01,10.0
23.5,59.0,IGHD6-13*01,7.681145747868608
24.5,168.0,IGHD6-19*01,12.96148139681572
25.5,96.0,IGHD6-25*01,9.797958971132712
26.5,74.0,IGHD6-6*01,8.602325267042627
27.5,15.0,IGHD7-27*01,3.872983346207417
28.5,0.0,,0.0
