bin_low_edge,contents,binlabel,error
-1.5,0.0,,0.0
-0.5,1146.0,,33.85262175962151
0.5,387.0,,19.672315572906
1.5,335.0,,18.303005217723125
2.5,311.0,,17.635192088548397
3.5,179.0,,13.379088160259652
4.5,158.0,,12.569805089976535
5.5,30.0,,5.477225575051661
6.5,114.0,,10.677078252031311
7.5,87.0,,9.327379053088816
8.5,40.0,,6.324555320336759
9.5,96.0,,9.797958971132712
10.5,28.0,,5.291502622129181
11.5,8.0,,2.8284271247461903
12.5,35.0,,5.916079783099616
13.5,8.0,,2.8284271247461903
14.5,0.0,,0.0
15.5,0.0,,0.0
16.5,29.0,,5.385164807134504
17.5,0.0,,0.0
18.5,8.0,,2.8284271247461903
19.5,1.0,,1.0
20.5,0.0,,0.0
