bin_low_edge,contents,binlabel,error
-0.5,0.0,,0.0
0.5,228.0,IGHJ1*01,15.0996688705415
1.5,222.0,IGHJ2*01,14.89966442575134
2.5,346.0,IGHJ3*01,18.601075237738275
3.5,363.0,IGHJ3*02,19.05255888325765
4.5,252.0,IGHJ4*01,15.874507866387544
5.5,266.0,IGHJ4*02,16.30950643030009
6.5,65.0,IGHJ4*03,8.06225774829855
7.5,137.0,IGHJ5*01,11.704699910719626
8.5,137.0,IGHJ5*02,11.704699910719626
9.5,109.0,IGHJ6*01,10.44030650891055
10.5,200.0,IGHJ6*02,14.142135623730951
11.5,342.0,IGHJ6*03,18.49324200890693
12.5,333.0,IGHJ6*04,18.24828759089466
13.5,0.0,,0.0
