bin_low_edge,contents,binlabel,error
-0.5,0.0,,0.0
0.5,62.0,IGHV1-18*04,7.874007874011811
1.5,38.0,IGHV1-2*05,6.164414002968976
2.5,19.0,IGHV1-24*01,4.358898943540674
3.5,62.0,IGHV1-3*02,7.874007874011811
4.5,8.0,IGHV1-45*02,2.8284271247461903
5.5,38.0,IGHV1-46*02,6.164414002968976
6.5,9.0,IGHV1-58*02,3.0
7.5,331.0,IGHV1-69*12,18.193405398660254
8.5,34.0,IGHV1-8*01,5.830951894845301
9.5,66.0,IGHV2-5*02,8.12403840463596
10.5,117.0,IGHV2-70*10,10.816653826391969
11.5,8.0,IGHV3-11*04,2.8284271247461903
12.5,71.0,IGHV3-13*01,8.426149773176359
13.5,105.0,IGHV3-15*02,10.246950765959598
14.5,32.0,IGHV3-21*04,5.656854249492381
15.5,46.0,IGHV3-23*04,6.782329983125268
16.5,39.0,IGHV3-23*05,6.244997998398398
17.5,161.0,IGHV3-30*08,12.68857754044952
18.5,79.0,IGHV3-33*03,8.888194417315589
19.5,9.0,IGHV3-43*01,3.0
20.5,22.0,IGHV3-48*04,4.69041575982343
21.5,7.0,IGHV3-49*01,2.6457513110645907
22.5,30.0,IGHV3-53*04,5.477225575051661
23.5,12.0,IGHV3-64*02,3.4641016151377544
24.5,9.0,IGHV3-64*04,3.0
25.5,82.0,IGHV3-7*03,9.055385138137417
26.5,4.0,IGHV3-72*01,2.0
27.5,98.0,IGHV3-74*02,9.899494936611665
28.5,44.0,IGHV3-9*02,6.6332495807108
29.5,111.0,IGHV4-28*02,10.535653752852738
30.5,94.0,IGHV4-30-2*01,9.695359714832659
31.5,55.0,IGHV4-30-4*01,7.416198487095663
32.5,9.0,IGHV4-30-4*07,3.0
33.5,43.0,IGHV4-34*05,6.557438524302
34.5,53.0,IGHV4-34*10,7.280109889280518
35.5,8.0,IGHV4-38-2*02,2.8284271247461903
36.5,54.0,IGHV4-39*06,7.3484692283495345
37.5,91.0,IGHV4-4*02,9.539392014169456
38.5,74.0,IGHV4-4*07,8.602325267042627
39.5,59.0,IGHV4-4*08,7.681145747868608
40.5,45.0,IGHV4-59*02,6.708203932499369
41.5,87.0,IGHV4-59*04,9.327379053088816
42.5,50.0,IGHV4-59*05,7.0710678118654755
43.5,88.0,IGHV4-59*06,9.38083151964686
44.5,40.0,IGHV4-59*10,6.324555320336759
45.5,128.0,IGHV4-61*01,11.313708498984761
46.5,28.0,IGHV4-61*05,5.291502622129181
47.5,139.0,IGHV5-10-1*01,11.789826122551595
48.5,102.0,IGHV5-51*04,10.099504938362077
49.5,0.0,,0.0
