bin_low_edge,contents,binlabel,error
-1.5,0.0,,0.0
-0.5,934.0,,30.56141357987225
0.5,398.0,,19.949937343260004
1.5,416.0,,20.396078054371138
2.5,307.0,,17.52141546793523
3.5,150.0,,12.24744871391589
4.5,176.0,,13.2664991614216
5.5,62.0,,7.874007874011811
6.5,189.0,,13.74772708486752
7.5,103.0,,10.14889156509222
8.5,46.0,,6.782329983125268
9.5,53.0,,7.280109889280518
10.5,74.0,,8.602325267042627
11.5,13.0,,3.605551275463989
12.5,1.0,,1.0
13.5,38.0,,6.164414002968976
14.5,2.0,,1.4142135623730951
15.5,6.0,,2.449489742783178
16.5,18.0,,4.242640687119285
17.5,2.0,,1.4142135623730951
18.5,2.0,,1.4142135623730951
19.5,0.0,,0.0
20.5,0.0,,0.0
21.5,0.0,,0.0
22.5,0.0,,0.0
23.5,0.0,,0.0
24.5,10.0,,3.1622776601683795
25.5,0.0,,0.0
