unique_id,second_unique_id,score
3364363421674415217,6092482508087146332,18.901100
3364363421674415217,-8749548808764065077,-16.543200
3364363421674415217,-6578528334269478654,18.901300
3364363421674415217,3255215250030462948,18.901100
3364363421674415217,-8972985913797676909,-21.888900
3364363421674415217,-2886759665799512249,-13.883100
3364363421674415217,8884708445518763028,-13.883100
3364363421674415217,6494230281332529616,-7.784000
6092482508087146332,-8749548808764065077,-16.543500
6092482508087146332,-6578528334269478654,18.901200
6092482508087146332,3255215250030462948,18.901000
6092482508087146332,-8972985913797676909,-21.889100
6092482508087146332,-2886759665799512249,-13.883200
6092482508087146332,8884708445518763028,-13.883200
6092482508087146332,6494230281332529616,-7.593770
-8749548808764065077,-6578528334269478654,-232.111000
-8749548808764065077,3255215250030462948,-223.026000
-8749548808764065077,-8972985913797676909,16.986700
-8749548808764065077,-2886759665799512249,17.425700
-8749548808764065077,8884708445518763028,17.425700
-8749548808764065077,6494230281332529616,-224.597000
-4605129730570947518,5777686328821089424,19.433000
-4605129730570947518,6095643559778891849,21.148800
-6578528334269478654,3255215250030462948,18.901200
-6578528334269478654,-8972985913797676909,-21.888300
-6578528334269478654,-2886759665799512249,-13.882800
-6578528334269478654,8884708445518763028,-13.882800
-6578528334269478654,6494230281332529616,-7.677860
3255215250030462948,-8972985913797676909,-21.889100
3255215250030462948,-2886759665799512249,-13.883200
3255215250030462948,8884708445518763028,-13.883200
3255215250030462948,6494230281332529616,-7.593770
-8972985913797676909,-2886759665799512249,16.990500
-8972985913797676909,8884708445518763028,16.990400
-8972985913797676909,6494230281332529616,-226.388000
-2886759665799512249,8884708445518763028,17.630300
-2886759665799512249,6494230281332529616,-228.777000
927872331272457142,8278347618525729405,20.637800
5777686328821089424,6095643559778891849,19.432800
8884708445518763028,6494230281332529616,-228.766000
