parameter,value
IGHD.Gamma.alpha,0.05000010000000001
IGHD.GTR.a,0.5135298929992712
IGHD.GTR.b,0.5695389924662516
IGHD.GTR.c,0.4914423819897267
IGHD.GTR.d,0.173370610204607
IGHD.GTR.e,0.357262581810446
IGHD.GTR.rate,3.310135218503075
IGHD.GTR.theta,0.5758388434610748
IGHD.GTR.theta1,0.3958662395719436
IGHD.GTR.theta2,0.4000425533842438
IGHJ.Gamma.alpha,0.05000010000000001
IGHJ.GTR.a,3.414580510674897
IGHJ.GTR.b,4.124871837634644
IGHJ.GTR.c,0.2115443030800231
IGHJ.GTR.d,3.120111961269872
IGHJ.GTR.e,0.3708056765938009
IGHJ.GTR.rate,0.6132770400476955
IGHJ.GTR.theta,0.7577294515561653
IGHJ.GTR.theta1,0.2927276612890808
IGHJ.GTR.theta2,0.7222496304410496
IGHV.Gamma.alpha,0.2789486156245722
IGHV.GTR.a,0.3303299710709406
IGHV.GTR.b,0.1252626182229233
IGHV.GTR.c,0.0774271043181003
IGHV.GTR.d,0.1734151986604053
IGHV.GTR.e,0.5799046874178643
IGHV.GTR.theta,0.3918774034173763
IGHV.GTR.theta1,0.262566996779515
IGHV.GTR.theta2,0.3601657273145416
