logprob,n_clusters,n_procs,clusters
-4952.057174682617,19,3,H1-A051047;H1-F016930;H1-F093796;H1-H014762;H1-H030614;H1-O181005;H1-O890425;H1-B121035;H1-F049075;H1-F086942;H1-H022825;H1-I411170;H1-O7909;H1-C434261;H1-F003375;H1-F056130;H1-F097195;H1-H035879;H1-H109811
-4927.370843547199,18,3,H1-A051047;H1-F016930;H1-F093796;H1-H014762;H1-H030614;H1-O181005;H1-O890425;H1-B121035;H1-F049075;H1-F086942;H1-H022825:H1-I411170;H1-O7909;H1-C434261;H1-F003375;H1-F056130;H1-F097195;H1-H035879;H1-H109811
-4905.003498262022,17,3,H1-A051047;H1-F016930;H1-F093796;H1-H014762;H1-H030614;H1-O181005;H1-O890425;H1-B121035;H1-F049075;H1-F086942;H1-H022825:H1-I411170;H1-O7909;H1-C434261;H1-F003375;H1-F056130;H1-F097195;H1-H035879:H1-H109811
-4882.189003671167,16,3,H1-A051047;H1-F016930;H1-F093796;H1-H014762;H1-H030614;H1-O181005;H1-O890425;H1-B121035;H1-F049075;H1-F086942;H1-H022825:H1-I411170;H1-O7909;H1-C434261:H1-H035879:H1-H109811;H1-F003375;H1-F056130;H1-F097195
-4859.549497174303,15,3,H1-A051047;H1-F016930;H1-F093796;H1-H014762;H1-H030614;H1-O181005;H1-O890425;H1-B121035;H1-F049075;H1-F086942;H1-H022825:H1-I411170;H1-O7909;H1-C434261:H1-H035879:H1-H109811:H1-F056130;H1-F003375;H1-F097195
-4836.0016166368805,14,3,H1-A051047;H1-F016930;H1-F093796;H1-H014762;H1-H030614;H1-O181005;H1-O890425;H1-B121035;H1-F049075;H1-F086942;H1-H022825:H1-I411170;H1-O7909;H1-C434261:H1-H035879:H1-H109811:H1-F056130:H1-F097195;H1-F003375
-4809.070581232287,13,3,H1-A051047;H1-F016930;H1-F093796;H1-H014762;H1-H030614;H1-O181005;H1-O890425;H1-B121035;H1-F049075;H1-F086942;H1-H022825:H1-I411170;H1-O7909;H1-C434261:H1-H035879:H1-H109811:H1-F056130:H1-F097195:H1-F003375
-4787.144295936596,12,3,H1-A051047;H1-F016930;H1-F093796:H1-H030614;H1-H014762;H1-O181005;H1-O890425;H1-B121035;H1-F049075;H1-F086942;H1-H022825:H1-I411170;H1-O7909;H1-C434261:H1-H035879:H1-H109811:H1-F056130:H1-F097195:H1-F003375
-4761.562894913495,11,3,H1-A051047;H1-F016930;H1-F093796:H1-H030614:H1-H014762;H1-O181005;H1-O890425;H1-B121035;H1-F049075;H1-F086942;H1-H022825:H1-I411170;H1-O7909;H1-C434261:H1-H035879:H1-H109811:H1-F056130:H1-F097195:H1-F003375
-4742.95448289546,10,3,H1-A051047;H1-F016930;H1-F093796:H1-H030614:H1-H014762;H1-O181005;H1-O890425;H1-B121035:H1-F049075;H1-F086942;H1-H022825:H1-I411170;H1-O7909;H1-C434261:H1-H035879:H1-H109811:H1-F056130:H1-F097195:H1-F003375
-4727.78101868263,9,3,H1-A051047:H1-F093796:H1-H030614:H1-H014762;H1-F016930;H1-O181005;H1-O890425;H1-B121035:H1-F049075;H1-F086942;H1-H022825:H1-I411170;H1-O7909;H1-C434261:H1-H035879:H1-H109811:H1-F056130:H1-F097195:H1-F003375
-4712.6668620429045,8,3,H1-A051047:H1-F093796:H1-H030614:H1-H014762;H1-F016930:H1-O181005;H1-O890425;H1-B121035:H1-F049075;H1-F086942;H1-H022825:H1-I411170;H1-O7909;H1-C434261:H1-H035879:H1-H109811:H1-F056130:H1-F097195:H1-F003375
-4718.295930497264,7,3,H1-A051047:H1-F093796:H1-H030614:H1-H014762;H1-F016930:H1-O181005;H1-O890425;H1-B121035:H1-F049075;H1-F086942:H1-O7909;H1-H022825:H1-I411170;H1-C434261:H1-H035879:H1-H109811:H1-F056130:H1-F097195:H1-F003375
-4729.331944019495,6,3,H1-A051047:H1-F093796:H1-H030614:H1-H014762;H1-F016930:H1-O181005:H1-O890425;H1-B121035:H1-F049075;H1-F086942:H1-O7909;H1-H022825:H1-I411170;H1-C434261:H1-H035879:H1-H109811:H1-F056130:H1-F097195:H1-F003375
-4813.921836771825,5,3,H1-A051047:H1-F093796:H1-H030614:H1-H014762:H1-F016930:H1-O181005:H1-O890425;H1-B121035:H1-F049075;H1-F086942:H1-O7909;H1-H022825:H1-I411170;H1-C434261:H1-H035879:H1-H109811:H1-F056130:H1-F097195:H1-F003375
-4908.076339469303,4,3,H1-A051047:H1-F093796:H1-H030614:H1-H014762:H1-F016930:H1-O181005:H1-O890425;H1-B121035:H1-F049075:H1-F086942:H1-O7909;H1-H022825:H1-I411170;H1-C434261:H1-H035879:H1-H109811:H1-F056130:H1-F097195:H1-F003375
-5034.429507180654,3,3,H1-A051047:H1-F093796:H1-H030614:H1-H014762:H1-F016930:H1-O181005:H1-O890425;H1-B121035:H1-F049075:H1-F086942:H1-O7909:H1-H022825:H1-I411170;H1-C434261:H1-H035879:H1-H109811:H1-F056130:H1-F097195:H1-F003375
-4727.781005859375,9,2,H1-A051047:H1-F093796:H1-H030614:H1-H014762;H1-C434261:H1-H035879:H1-H109811:H1-F056130:H1-F097195:H1-F003375;H1-F016930;H1-O181005;H1-O890425;H1-B121035:H1-F049075;H1-F086942;H1-H022825:H1-I411170;H1-O7909
-4695.158287911943,8,2,H1-A051047:H1-F093796:H1-H030614:H1-H014762:H1-C434261:H1-H035879:H1-H109811:H1-F056130:H1-F097195:H1-F003375;H1-F016930;H1-O181005;H1-O890425;H1-B121035:H1-F049075;H1-F086942;H1-H022825:H1-I411170;H1-O7909
-4680.044152169756,7,2,H1-A051047:H1-F093796:H1-H030614:H1-H014762:H1-C434261:H1-H035879:H1-H109811:H1-F056130:H1-F097195:H1-F003375;H1-F016930:H1-O181005;H1-O890425;H1-B121035:H1-F049075;H1-F086942;H1-H022825:H1-I411170;H1-O7909
-4675.405438742522,6,2,H1-A051047:H1-F093796:H1-H030614:H1-H014762:H1-C434261:H1-H035879:H1-H109811:H1-F056130:H1-F097195:H1-F003375:H1-O890425;H1-F016930:H1-O181005;H1-B121035:H1-F049075;H1-F086942;H1-H022825:H1-I411170;H1-O7909
-4681.034528097991,5,2,H1-A051047:H1-F093796:H1-H030614:H1-H014762:H1-C434261:H1-H035879:H1-H109811:H1-F056130:H1-F097195:H1-F003375:H1-O890425;H1-F016930:H1-O181005;H1-B121035:H1-F049075;H1-F086942:H1-O7909;H1-H022825:H1-I411170
-4775.1889775608815,4,2,H1-A051047:H1-F093796:H1-H030614:H1-H014762:H1-C434261:H1-H035879:H1-H109811:H1-F056130:H1-F097195:H1-F003375:H1-O890425;H1-F016930:H1-O181005;H1-B121035:H1-F049075:H1-F086942:H1-O7909;H1-H022825:H1-I411170
-4875.10087042932,3,2,H1-A051047:H1-F093796:H1-H030614:H1-H014762:H1-C434261:H1-H035879:H1-H109811:H1-F056130:H1-F097195:H1-F003375:H1-O890425:H1-F016930:H1-O181005;H1-B121035:H1-F049075:H1-F086942:H1-O7909;H1-H022825:H1-I411170
-5001.454111396117,2,2,H1-A051047:H1-F093796:H1-H030614:H1-H014762:H1-C434261:H1-H035879:H1-H109811:H1-F056130:H1-F097195:H1-F003375:H1-O890425:H1-F016930:H1-O181005;H1-B121035:H1-F049075:H1-F086942:H1-O7909:H1-H022825:H1-I411170
-4695.158386230469,8,1,H1-A051047:H1-F093796:H1-H030614:H1-H014762:H1-C434261:H1-H035879:H1-H109811:H1-F056130:H1-F097195:H1-F003375;H1-B121035:H1-F049075;H1-F016930;H1-F086942;H1-H022825:H1-I411170;H1-O181005;H1-O7909;H1-O890425
