gene,cyst_position,tryp_position,phen_position,aligned_seq
IGKJ3*01,,,7,
IGKJ3*02,,,7,
IGKJ5*01,,,7,
IGKJ4*01,,,7,
IGKJ1*02,,,6,
IGKJ4*02,,,7,
IGKJ2*03,,,8,
IGKJ2*02,,,8,
IGKJ2*01,,,8,
IGKJ1*01,,,7,
IGKV-6GIS*x,276,,,
IGKV-AFTM*x,261,,,
IGKV-FRL7*x,261,,,
IGKV-XSTX*x,261,,,
IGKV-UQHH*x,261,,,
IGKV-AYVP*x,279,,,
IGKV-MA7N*x,264,,,
IGKV-U4UD*x,261,,,
IGKV-TYIK*x,258,,,
IGKV-ZDJX*x,258,,,
IGKV-CLYB*x,264,,,
IGKV-HCXQ*x,264,,,
IGKV-XQ62*x,264,,,
IGKV-SEEI*x,264,,,
IGKV-CNF2*x,258,,,
IGKV-LDQ4*x,261,,,
IGKV-UJS6*x,261,,,
IGKV-GHIL*x,264,,,
IGKV-YCYO*x,261,,,
IGKV-ZTTC*x,264,,,
IGKV-EEDV*x,279,,,
IGKV-JJCB*x,261,,,
IGKV-PKCM*x,273,,,
IGKV-UWM3*x,261,,,
IGKV-JPPD*x,258,,,
IGKV-VYPV*x,261,,,
IGKV-NICY*x,276,,,
IGKV-MCYQ*x,261,,,
IGKV-WCQH*x,279,,,
IGKV-NPIN*x,279,,,
IGKV-RNNU*x,261,,,
IGKV-XMXA*x,261,,,
IGKV-SUW4*x,273,,,
IGKV-HZ6N*x,261,,,
IGKV-ZHS7*x,258,,,
IGKV-ATWT*x,261,,,
IGKV-MAQO*x,258,,,
IGKV-VPTR*x,273,,,
IGKV-CAIO*x,261,,,
IGKV-ZZ6J*x,276,,,
IGKV-3PCH*x,264,,,
IGKV-TO7E*x,279,,,
IGKV-YZJK*x,261,,,
IGKV-XI6B*x,258,,,
IGKV-BMNF*x,258,,,
IGKV-NOE5*x,276,,,
IGKV-RMIR*x,258,,,
IGKV-B2Y6*x,261,,,
IGKV-T2T6*x,261,,,
IGKV-FOXV*x,279,,,
IGKV-6W7P*x,276,,,
IGKV-ZLYT*x,261,,,
IGKV-Q76C*x,258,,,
IGKV-HSRA*x,261,,,
IGKV-JAU4*x,279,,,
IGKV-4655*x,276,,,
IGKV-SV3T*x,261,,,
IGKV-6OPE*x,261,,,
IGKV-MOFC*x,264,,,
IGKV-32WP*x,261,,,
IGKV-LKGS*x,264,,,
IGKV-HFE2*x,273,,,
IGKV-HBLU*x,261,,,
IGKV-ETDF*x,276,,,
IGKV-GEUX*x,261,,,
IGKV-T2D7*x,279,,,
IGKV-CCS6*x,258,,,
IGKV-F3JO*x,276,,,
IGKV-5RRN*x,264,,,
IGKV-77PF*x,258,,,
IGKV-GTUT*x,276,,,
IGKV-DRVA*x,258,,,
IGKV-7RBQ*x,279,,,
IGKV-HSK5*x,258,,,
IGKV-ND7G*x,258,,,
IGKV-BMZ6*x,261,,,
IGKV-6OP7*x,261,,,
IGKV-F3OS*x,261,,,
IGKV-72GN*x,279,,,
IGKV-UKFS*x,273,,,
IGKV-YC3Y*x,261,,,
IGKV-WUFM*x,264,,,
IGKV-JPDO*x,261,,,
IGKV-6IRJ*x,264,,,
IGKV-7T6X*x,258,,,
IGKV-7XPT*x,276,,,
IGKV-TEYP*x,261,,,
IGKV-IZ43*x,261,,,
IGKV-RHAF*x,261,,,
IGKV-INRT*x,273,,,
IGKV-FLCD*x,261,,,
